episode,train_step,avg_loss,avg_td_error,avg_q_value,avg_batch_reward,batch_size,epsilon
5,122,896.221802,26.477011,-38.3230,0.565414,32,0.988750
5,123,860.908997,26.052114,-38.9449,0.565414,32,0.988750
5,124,826.786926,25.634956,-39.5572,0.565414,32,0.988750
5,125,793.398376,25.216888,-40.1718,0.565414,32,0.988750
5,126,760.712097,24.798559,-40.7894,0.565414,32,0.988750
5,127,728.737061,24.378901,-41.4102,0.565414,32,0.988750
5,128,697.488281,23.957567,-42.0342,0.565414,32,0.988750
5,129,666.989075,23.534822,-42.6611,0.565414,32,0.988750
5,130,637.263550,23.110174,-43.2908,0.565414,32,0.988750
5,131,608.326660,22.684116,-43.9234,0.565414,32,0.988750
5,132,580.196533,22.256769,-44.5585,0.565414,32,0.988750
5,133,552.890381,21.827759,-45.1963,0.565414,32,0.988750
5,134,526.417053,21.396931,-45.8363,0.565414,32,0.988750
5,135,500.791473,20.964901,-46.4789,0.565414,32,0.988750
5,136,476.022705,20.531483,-47.1238,0.565414,32,0.988750
5,137,452.129272,20.096605,-47.7712,0.565414,32,0.988750
5,138,429.112213,19.659801,-48.4211,0.565414,32,0.988750
5,139,406.993744,19.221613,-49.0733,0.565414,32,0.988750
5,140,385.782379,18.781929,-49.7275,0.565414,32,0.988750
5,141,365.492798,18.341787,-50.3842,0.565414,32,0.988750
5,142,346.129669,17.899637,-51.0428,0.565414,32,0.988750
5,143,327.713226,17.456320,-51.7038,0.565414,32,0.988750
5,144,310.245941,17.010954,-52.3666,0.565414,32,0.988750
5,145,293.745239,16.564636,-53.0315,0.565414,32,0.988750
5,146,278.218292,16.116282,-53.6984,0.565414,32,0.988750
5,147,263.676575,15.666940,-54.3668,0.565414,32,0.988750
5,148,250.126038,15.215660,-55.0366,0.565414,32,0.988750
5,149,237.580429,14.763503,-55.7076,0.565414,32,0.988750
5,150,226.047287,14.309161,-56.3798,0.565414,32,0.988750
6,151,215.325577,13.852132,-57.2804,0.562187,32,0.986875
6,152,1414.776123,33.209690,-57.9574,0.562187,32,0.986875
6,153,1364.777954,32.737316,-58.6585,0.562187,32,0.986875
6,154,1315.883423,32.264324,-59.3590,0.562187,32,0.986875
6,155,1268.016968,31.791702,-60.0616,0.562187,32,0.986875
6,156,1221.104126,31.316782,-60.7657,0.562187,32,0.986875
6,157,1175.215698,30.842888,-61.4727,0.562187,32,0.986875
6,158,1130.317749,30.368376,-62.1801,0.562187,32,0.986875
6,159,1086.446777,29.894846,-62.8917,0.562187,32,0.986875
6,160,1043.563110,29.418991,-63.6036,0.562187,32,0.986875
6,161,1001.734619,28.943802,-64.3200,0.562187,32,0.986875
6,162,960.911438,28.464914,-65.0367,0.562187,32,0.986875
6,163,921.177734,27.987875,-65.7578,0.562187,32,0.986875
6,164,882.469177,27.506763,-66.4790,0.562187,32,0.986875
6,165,844.863525,27.026596,-67.2051,0.562187,32,0.986875
6,166,808.319519,26.542692,-67.9310,0.562187,32,0.986875
6,167,772.901184,26.060329,-68.6618,0.562187,32,0.986875
6,168,738.563660,25.573881,-69.3923,0.562187,32,0.986875
6,169,705.372009,25.088688,-70.1282,0.562187,32,0.986875
6,170,673.282837,24.599331,-70.8637,0.562187,32,0.986875
6,171,642.368286,24.111423,-71.6043,0.562187,32,0.986875
6,172,612.585754,23.619421,-72.3445,0.562187,32,0.986875
6,173,583.988831,23.128452,-73.0902,0.562187,32,0.986875
6,174,556.567200,22.633167,-73.8348,0.562187,32,0.986875
6,175,530.349548,22.138742,-74.5852,0.562187,32,0.986875
6,176,505.323029,21.639660,-75.3348,0.562187,32,0.986875
6,177,481.523438,21.141556,-76.0897,0.562187,32,0.986875
6,178,458.953430,20.639198,-76.8432,0.562187,32,0.986875
6,179,437.628845,20.137674,-77.6025,0.562187,32,0.986875
6,180,417.573212,19.631912,-78.3598,0.562187,32,0.986875
7,181,401.101685,19.175108,-78.7313,0.571515,32,0.985000
7,182,2004.190063,39.687210,-79.4883,0.571515,32,0.985000
7,183,1937.928833,39.154823,-80.2685,0.571515,32,0.985000
7,184,1872.866455,38.618782,-81.0471,0.571515,32,0.985000
7,185,1809.103516,38.084923,-81.8310,0.571515,32,0.985000
7,186,1746.427856,37.545536,-82.6145,0.571515,32,0.985000
7,187,1685.087646,37.008713,-83.4036,0.571515,32,0.985000
7,188,1624.763550,36.466011,-84.1930,0.571515,32,0.985000
7,189,1565.811523,35.927498,-84.9883,0.571515,32,0.985000
7,190,1507.989990,35.384407,-85.7831,0.571515,32,0.985000
7,191,1451.542603,34.844833,-86.5839,0.571515,32,0.985000
7,192,1396.236572,34.299343,-87.3844,0.571515,32,0.985000
7,193,1342.354736,33.756474,-88.1909,0.571515,32,0.985000
