Plane 2 | Job 1 | Site 2 | Start 89 | End 108.30215028904607
Plane 7 | Job 7 | Site 15 | Start 93 | End 98.1144823004795
Plane 7 | Job 1 | Site 16 | Start 98 | End 109.72046505340853
Plane 6 | Job 7 | Site 15 | Start 101 | End 110.15891053163817
Plane 3 | Job 6 | Site 5 | Start 104 | End 144.98557292037256
Plane 2 | Job 0 | Site 2 | Start 108 | End 118.0
Plane 5 | Job 8 | Site 1 | Start 108 | End 118.29364759102383
Plane 1 | Job 1 | Site 8 | Start 109 | End 127.36480723029527
Plane 7 | Job 0 | Site 16 | Start 109 | End 119.0
Plane 4 | Job 6 | Site 3 | Start 110 | End 135.55888251663026
Plane 6 | Job 1 | Site 4 | Start 110 | End 125.131276644267
Plane 2 | Job -1 | Site 2 | Start 118 | End 128.0
Plane 5 | Job 6 | Site 1 | Start 118 | End 133.0
Plane 7 | Job -1 | Site 12 | Start 119 | End 147.24527336051725
Plane 0 | Job 1 | Site 16 | Start 124 | End 160.1658173959844
Plane 6 | Job 0 | Site 6 | Start 125 | End 161.0007692193904
Plane 1 | Job 0 | Site 0 | Start 127 | End 173.45490364820623
Plane 5 | Job 7 | Site 9 | Start 133 | End 170.28526604689273
Plane 4 | Job 7 | Site 11 | Start 135 | End 161.41802612825205
Plane 3 | Job 7 | Site 15 | Start 144 | End 149.1144823004795
Plane 3 | Job 1 | Site 2 | Start 149 | End 168.30215028904607
Plane 0 | Job 0 | Site 5 | Start 160 | End 174.81040538832227
Plane 4 | Job 1 | Site 16 | Start 161 | End 191.38357181653893
Plane 6 | Job -1 | Site 3 | Start 161 | End 199.00285699709943
Plane 3 | Job 0 | Site 2 | Start 168 | End 178.0
Plane 5 | Job 1 | Site 4 | Start 170 | End 209.75936827286495
Plane 1 | Job -1 | Site 14 | Start 173 | End 195.12641744292188
Plane 0 | Job -1 | Site 1 | Start 174 | End 192.41189633792524
Plane 3 | Job -1 | Site 2 | Start 178 | End 188.0
Plane 4 | Job 0 | Site 5 | Start 191 | End 205.81040538832227
Plane 4 | Job -1 | Site 3 | Start 205 | End 219.2059481689626
Plane 5 | Job 0 | Site 16 | Start 209 | End 225.7623960250787
Plane 5 | Job -1 | Site 6 | Start 225 | End 256.1624667749296
---- End of episode ----
Plane 0 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 1 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 2 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 3 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 4 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 5 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 6 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 7 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 6 | Job 2 | Site 9 | Start 17 | End 27.827007354458868
Plane 7 | Job 2 | Site 4 | Start 22 | End 45.0293863659264
Plane 6 | Job 3 | Site 14 | Start 27 | End 69.00592527576124
Plane 5 | Job 2 | Site 9 | Start 34 | End 64.47059459841546
Plane 4 | Job 2 | Site 17 | Start 37 | End 49.46374504447692
Plane 2 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 1 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 0 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 3 | Job 2 | Site 0 | Start 44 | End 50.0
Plane 7 | Job 3 | Site 4 | Start 45 | End 60.0
Plane 2 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 1 | Job 3 | Site 2 | Start 47 | End 62.0
Plane 0 | Job 3 | Site 1 | Start 49 | End 64.0
Plane 4 | Job 3 | Site 10 | Start 49 | End 85.61133961604416
Plane 3 | Job 3 | Site 0 | Start 50 | End 65.0
Plane 7 | Job 8 | Site 13 | Start 60 | End 81.0293863659264
Plane 2 | Job 8 | Site 3 | Start 61 | End 65.0
Plane 1 | Job 8 | Site 2 | Start 62 | End 66.0
Plane 0 | Job 8 | Site 17 | Start 64 | End 82.71665722914005
Plane 5 | Job 3 | Site 1 | Start 64 | End 114.28526604689272
Plane 2 | Job 6 | Site 4 | Start 65 | End 82.08806130178212
Plane 3 | Job 8 | Site 0 | Start 65 | End 69.0
Plane 1 | Job 6 | Site 2 | Start 66 | End 81.0
Plane 3 | Job 6 | Site 16 | Start 69 | End 99.07647173578752
Plane 6 | Job 8 | Site 3 | Start 69 | End 78.7008771254957
Plane 6 | Job 6 | Site 3 | Start 78 | End 93.0
Plane 1 | Job 7 | Site 7 | Start 81 | End 114.81571938523471
Plane 7 | Job 6 | Site 2 | Start 81 | End 115.52331938989883
Plane 0 | Job 6 | Site 4 | Start 82 | End 105.523496934944
Plane 2 | Job 7 | Site 15 | Start 82 | End 89.131276644267
Plane 4 | Job 8 | Site 5 | Start 85 | End 113.59044529893674
Plane 2 | Job 1 | Site 6 | Start 89 | End 120.90639176131022
Plane 6 | Job 7 | Site 11 | Start 93 | End 119.41802612825205
Plane 3 | Job 7 | Site 15 | Start 99 | End 102.72046505340853
Plane 3 | Job 1 | Site 16 | Start 102 | End 113.72046505340853
Plane 0 | Job 7 | Site 15 | Start 105 | End 112.131276644267
Plane 0 | Job 1 | Site 4 | Start 112 | End 127.131276644267
Plane 3 | Job 0 | Site 16 | Start 113 | End 123.0
Plane 4 | Job 6 | Site 5 | Start 113 | End 128.0
Plane 1 | Job 1 | Site 1 | Start 114 | End 157.8036980225537
Plane 5 | Job 8 | Site 17 | Start 114 | End 132.71665722914005
Plane 7 | Job 7 | Site 0 | Start 115 | End 121.27200187265876
Plane 6 | Job 1 | Site 2 | Start 119 | End 155.07220742476557
Plane 2 | Job 0 | Site 6 | Start 120 | End 130.0
Plane 7 | Job 1 | Site 3 | Start 121 | End 137.42572953056694
Plane 3 | Job -1 | Site 14 | Start 123 | End 136.3600595232823
Plane 0 | Job 0 | Site 4 | Start 127 | End 137.0
Plane 4 | Job 7 | Site 7 | Start 128 | End 155.98557292037256
Plane 2 | Job -1 | Site 12 | Start 130 | End 153.1590273196768
Plane 5 | Job 6 | Site 5 | Start 132 | End 153.46374504447692
Plane 0 | Job -1 | Site 14 | Start 137 | End 150.62491379207836
Plane 7 | Job 0 | Site 16 | Start 137 | End 155.73670418407306
Plane 5 | Job 7 | Site 11 | Start 153 | End 176.242645786248
Plane 4 | Job 1 | Site 5 | Start 155 | End 190.98557292037256
Plane 6 | Job 0 | Site 10 | Start 155 | End 194.7415534227787
Plane 7 | Job -1 | Site 3 | Start 155 | End 173.73670418407306
Plane 1 | Job 0 | Site 16 | Start 157 | End 179.84133949399362
Plane 5 | Job 1 | Site 2 | Start 176 | End 212.07220742476557
Plane 1 | Job -1 | Site 12 | Start 179 | End 207.24527336051725
Plane 4 | Job 0 | Site 16 | Start 190 | End 204.81040538832227
Plane 6 | Job -1 | Site 3 | Start 194 | End 231.99571395767572
Plane 4 | Job -1 | Site 0 | Start 204 | End 229.07647173578752
Plane 5 | Job 0 | Site 16 | Start 212 | End 232.85587398600407
Plane 5 | Job -1 | Site 6 | Start 232 | End 263.1624667749296
---- End of episode ----
Plane 0 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 1 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 2 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 3 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 4 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 5 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 6 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 7 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 6 | Job 2 | Site 9 | Start 17 | End 27.827007354458868
Plane 7 | Job 2 | Site 4 | Start 22 | End 45.0293863659264
Plane 6 | Job 3 | Site 14 | Start 27 | End 69.00592527576124
Plane 5 | Job 2 | Site 9 | Start 34 | End 64.47059459841546
Plane 4 | Job 2 | Site 17 | Start 37 | End 49.46374504447692
Plane 2 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 1 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 0 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 3 | Job 2 | Site 0 | Start 44 | End 50.0
Plane 7 | Job 3 | Site 4 | Start 45 | End 60.0
Plane 2 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 1 | Job 3 | Site 2 | Start 47 | End 62.0
Plane 0 | Job 3 | Site 1 | Start 49 | End 64.0
Plane 4 | Job 3 | Site 10 | Start 49 | End 85.61133961604416
Plane 3 | Job 3 | Site 0 | Start 50 | End 65.0
Plane 7 | Job 8 | Site 17 | Start 60 | End 72.523496934944
Plane 2 | Job 8 | Site 3 | Start 61 | End 65.0
Plane 1 | Job 8 | Site 2 | Start 62 | End 66.0
Plane 0 | Job 8 | Site 1 | Start 64 | End 68.0
Plane 5 | Job 3 | Site 4 | Start 64 | End 108.75936827286493
Plane 2 | Job 6 | Site 3 | Start 65 | End 80.0
Plane 3 | Job 8 | Site 7 | Start 65 | End 104.80349144985723
Plane 1 | Job 6 | Site 2 | Start 66 | End 81.0
Plane 0 | Job 6 | Site 5 | Start 68 | End 91.41189633792524
Plane 6 | Job 8 | Site 1 | Start 69 | End 82.90201999594022
Plane 7 | Job 6 | Site 16 | Start 72 | End 89.00997512422418
Plane 2 | Job 7 | Site 15 | Start 80 | End 89.15891053163817
Plane 1 | Job 7 | Site 11 | Start 81 | End 109.07220742476555
Plane 6 | Job 6 | Site 3 | Start 82 | End 101.20594816896262
Plane 4 | Job 8 | Site 17 | Start 85 | End 110.61133961604416
Plane 2 | Job 1 | Site 2 | Start 89 | End 108.30215028904607
Plane 7 | Job 7 | Site 9 | Start 89 | End 117.1658173959844
Plane 0 | Job 7 | Site 15 | Start 91 | End 96.1144823004795
Plane 0 | Job 1 | Site 16 | Start 96 | End 107.72046505340853
Plane 6 | Job 7 | Site 15 | Start 101 | End 110.15891053163817
Plane 3 | Job 6 | Site 5 | Start 104 | End 144.98557292037256
Plane 0 | Job 0 | Site 16 | Start 107 | End 117.0
Plane 2 | Job 0 | Site 2 | Start 108 | End 118.0
Plane 5 | Job 8 | Site 1 | Start 108 | End 118.29364759102383
Plane 1 | Job 1 | Site 4 | Start 109 | End 141.76927754672948
Plane 4 | Job 6 | Site 3 | Start 110 | End 135.55888251663026
Plane 6 | Job 1 | Site 6 | Start 110 | End 141.9063917613102
Plane 0 | Job -1 | Site 14 | Start 117 | End 130.3600595232823
Plane 7 | Job 1 | Site 16 | Start 117 | End 153.1658173959844
Plane 2 | Job -1 | Site 2 | Start 118 | End 128.0
Plane 5 | Job 6 | Site 1 | Start 118 | End 133.0
Plane 5 | Job 7 | Site 9 | Start 133 | End 170.28526604689273
Plane 4 | Job 7 | Site 11 | Start 135 | End 161.41802612825205
Plane 1 | Job 0 | Site 2 | Start 141 | End 155.23792402008343
Plane 6 | Job 0 | Site 6 | Start 141 | End 151.0
Plane 3 | Job 7 | Site 15 | Start 144 | End 149.1144823004795
Plane 3 | Job 1 | Site 4 | Start 149 | End 164.131276644267
Plane 6 | Job -1 | Site 12 | Start 151 | End 174.1590273196768
Plane 7 | Job 0 | Site 16 | Start 153 | End 163.0
Plane 1 | Job -1 | Site 2 | Start 155 | End 165.0
Plane 4 | Job 1 | Site 1 | Start 161 | End 198.8677232654553
Plane 7 | Job -1 | Site 3 | Start 163 | End 181.73670418407306
Plane 3 | Job 0 | Site 4 | Start 164 | End 174.0
Plane 5 | Job 1 | Site 16 | Start 170 | End 206.1658173959844
Plane 3 | Job -1 | Site 4 | Start 174 | End 184.0
Plane 4 | Job 0 | Site 2 | Start 198 | End 210.06155281280883
Plane 5 | Job 0 | Site 16 | Start 206 | End 216.0
Plane 4 | Job -1 | Site 3 | Start 210 | End 222.1540659228538
Plane 5 | Job -1 | Site 6 | Start 216 | End 247.1624667749296
---- End of episode ----
Plane 0 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 1 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 2 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 3 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 4 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 5 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 6 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 7 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 6 | Job 2 | Site 4 | Start 17 | End 50.90340481016609
Plane 7 | Job 2 | Site 9 | Start 22 | End 44.3713163795707
Plane 5 | Job 2 | Site 17 | Start 34 | End 40.0
Plane 4 | Job 2 | Site 13 | Start 37 | End 59.058953888718904
Plane 2 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 5 | Job 3 | Site 16 | Start 40 | End 57.00997512422418
Plane 1 | Job 2 | Site 17 | Start 41 | End 59.701574705523726
Plane 0 | Job 2 | Site 2 | Start 43 | End 51.06155281280883
Plane 3 | Job 2 | Site 1 | Start 44 | End 52.236067977499786
Plane 7 | Job 3 | Site 5 | Start 44 | End 87.00803456153253
Plane 2 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 6 | Job 3 | Site 0 | Start 50 | End 73.50940655980193
Plane 0 | Job 3 | Site 2 | Start 51 | End 66.0
Plane 3 | Job 3 | Site 1 | Start 52 | End 67.0
Plane 5 | Job 8 | Site 9 | Start 57 | End 87.1658173959844
Plane 1 | Job 3 | Site 16 | Start 59 | End 76.00997512422418
Plane 4 | Job 3 | Site 10 | Start 59 | End 86.36931687685298
Plane 2 | Job 8 | Site 3 | Start 61 | End 65.0
Plane 2 | Job 6 | Site 4 | Start 65 | End 82.08806130178212
Plane 0 | Job 8 | Site 17 | Start 66 | End 82.70157470552373
Plane 3 | Job 8 | Site 3 | Start 67 | End 75.20594816896262
Plane 6 | Job 8 | Site 1 | Start 73 | End 79.23606797749979
Plane 3 | Job 6 | Site 2 | Start 75 | End 92.1540659228538
Plane 1 | Job 8 | Site 3 | Start 76 | End 88.73670418407308
Plane 6 | Job 6 | Site 1 | Start 79 | End 94.0
Plane 0 | Job 6 | Site 4 | Start 82 | End 105.523496934944
Plane 2 | Job 7 | Site 7 | Start 82 | End 111.90340481016608
Plane 4 | Job 8 | Site 0 | Start 86 | End 123.39176545197932
Plane 5 | Job 6 | Site 16 | Start 87 | End 128.1658173959844
Plane 7 | Job 8 | Site 17 | Start 87 | End 97.46374504447692
Plane 1 | Job 6 | Site 3 | Start 88 | End 103.0
Plane 3 | Job 7 | Site 11 | Start 92 | End 120.07220742476555
Plane 6 | Job 7 | Site 15 | Start 94 | End 107.32166065557523
Plane 7 | Job 6 | Site 2 | Start 97 | End 124.70157470552373
Plane 1 | Job 7 | Site 1 | Start 103 | End 109.20594816896262
Plane 0 | Job 7 | Site 5 | Start 105 | End 109.11896201004171
Plane 6 | Job 1 | Site 4 | Start 107 | End 122.131276644267
Plane 0 | Job 1 | Site 3 | Start 109 | End 123.20594816896262
Plane 1 | Job 1 | Site 1 | Start 109 | End 119.0
Plane 2 | Job 1 | Site 10 | Start 111 | End 127.26099033699941
Plane 1 | Job 0 | Site 5 | Start 119 | End 137.41189633792524
Plane 3 | Job 1 | Site 1 | Start 120 | End 157.8677232654553
Plane 6 | Job 0 | Site 6 | Start 122 | End 158.0007692193904
Plane 0 | Job 0 | Site 12 | Start 123 | End 154.11018711428204
Plane 4 | Job 6 | Site 4 | Start 123 | End 146.50940655980193
Plane 7 | Job 7 | Site 3 | Start 124 | End 128.1540659228538
Plane 2 | Job 0 | Site 2 | Start 127 | End 166.7415534227787
Plane 5 | Job 7 | Site 7 | Start 128 | End 153.44802763560295
Plane 7 | Job 1 | Site 16 | Start 128 | End 146.73670418407306
Plane 1 | Job -1 | Site 0 | Start 137 | End 157.62826420446913
Plane 4 | Job 7 | Site 11 | Start 146 | End 170.76927754672948
Plane 7 | Job 0 | Site 16 | Start 146 | End 156.0
Plane 5 | Job 1 | Site 5 | Start 153 | End 188.98557292037256
Plane 0 | Job -1 | Site 14 | Start 154 | End 181.75894140989266
Plane 7 | Job -1 | Site 3 | Start 156 | End 174.73670418407306
Plane 3 | Job 0 | Site 16 | Start 157 | End 179.84133949399362
Plane 6 | Job -1 | Site 12 | Start 158 | End 181.1590273196768
Plane 2 | Job -1 | Site 2 | Start 166 | End 176.0
Plane 4 | Job 1 | Site 1 | Start 170 | End 207.8677232654553
Plane 3 | Job -1 | Site 3 | Start 179 | End 197.73670418407306
Plane 5 | Job 0 | Site 16 | Start 188 | End 202.81040538832227
Plane 5 | Job -1 | Site 2 | Start 202 | End 222.85587398600407
Plane 4 | Job 0 | Site 5 | Start 207 | End 225.41189633792524
Plane 4 | Job -1 | Site 8 | Start 225 | End 261.9874044694928
---- End of episode ----
Plane 0 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 1 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 2 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 3 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 4 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 5 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 6 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 7 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 6 | Job 2 | Site 9 | Start 17 | End 27.827007354458868
Plane 7 | Job 2 | Site 4 | Start 22 | End 45.0293863659264
Plane 6 | Job 3 | Site 14 | Start 27 | End 69.00592527576124
Plane 5 | Job 2 | Site 9 | Start 34 | End 64.47059459841546
Plane 4 | Job 2 | Site 17 | Start 37 | End 49.46374504447692
Plane 2 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 1 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 0 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 3 | Job 2 | Site 0 | Start 44 | End 50.0
Plane 7 | Job 3 | Site 5 | Start 45 | End 62.11896201004171
Plane 2 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 1 | Job 3 | Site 2 | Start 47 | End 62.0
Plane 0 | Job 3 | Site 1 | Start 49 | End 64.0
Plane 4 | Job 3 | Site 6 | Start 49 | End 83.25746608461247
Plane 3 | Job 3 | Site 0 | Start 50 | End 65.0
Plane 2 | Job 8 | Site 3 | Start 61 | End 65.0
Plane 1 | Job 8 | Site 17 | Start 62 | End 78.70157470552373
Plane 7 | Job 8 | Site 5 | Start 62 | End 66.0
Plane 0 | Job 8 | Site 1 | Start 64 | End 68.0
Plane 5 | Job 3 | Site 4 | Start 64 | End 108.75936827286493
Plane 2 | Job 6 | Site 2 | Start 65 | End 82.1540659228538
Plane 3 | Job 8 | Site 0 | Start 65 | End 69.0
Plane 7 | Job 6 | Site 3 | Start 66 | End 85.20594816896262
Plane 0 | Job 6 | Site 5 | Start 68 | End 91.41189633792524
Plane 3 | Job 6 | Site 16 | Start 69 | End 99.07647173578752
Plane 6 | Job 8 | Site 1 | Start 69 | End 82.90201999594022
Plane 1 | Job 6 | Site 0 | Start 78 | End 109.95228598154243
Plane 2 | Job 7 | Site 7 | Start 82 | End 115.81571938523471
Plane 6 | Job 6 | Site 2 | Start 82 | End 99.06155281280883
Plane 4 | Job 8 | Site 17 | Start 83 | End 106.25746608461247
Plane 7 | Job 7 | Site 11 | Start 85 | End 111.41802612825205
Plane 0 | Job 7 | Site 15 | Start 91 | End 96.1144823004795
Plane 0 | Job 1 | Site 5 | Start 96 | End 109.1144823004795
Plane 3 | Job 7 | Site 15 | Start 99 | End 102.72046505340853
Plane 6 | Job 7 | Site 1 | Start 99 | End 103.06155281280883
Plane 3 | Job 1 | Site 2 | Start 102 | End 121.30215028904607
Plane 6 | Job 1 | Site 16 | Start 103 | End 125.84133949399362
Plane 4 | Job 6 | Site 3 | Start 106 | End 131.55888251663026
Plane 5 | Job 8 | Site 17 | Start 108 | End 120.523496934944
Plane 0 | Job 0 | Site 5 | Start 109 | End 119.0
Plane 1 | Job 7 | Site 15 | Start 109 | End 124.55654823323401
Plane 7 | Job 1 | Site 4 | Start 111 | End 143.76927754672948
Plane 2 | Job 1 | Site 1 | Start 115 | End 158.8036980225537
Plane 0 | Job -1 | Site 14 | Start 119 | End 130.52643375224739
Plane 5 | Job 6 | Site 5 | Start 120 | End 141.46374504447692
Plane 3 | Job 0 | Site 2 | Start 121 | End 131.0
Plane 1 | Job 1 | Site 0 | Start 124 | End 147.556548233234
Plane 6 | Job 0 | Site 16 | Start 125 | End 135.0
Plane 3 | Job -1 | Site 2 | Start 131 | End 141.0
Plane 4 | Job 7 | Site 7 | Start 131 | End 162.85431292125142
Plane 6 | Job -1 | Site 3 | Start 135 | End 153.73670418407306
Plane 5 | Job 7 | Site 11 | Start 141 | End 164.242645786248
Plane 7 | Job 0 | Site 16 | Start 143 | End 159.7623960250787
Plane 1 | Job 0 | Site 2 | Start 147 | End 161.27200187265876
Plane 2 | Job 0 | Site 6 | Start 158 | End 200.04512443414754
Plane 7 | Job -1 | Site 3 | Start 159 | End 177.73670418407306
Plane 1 | Job -1 | Site 2 | Start 161 | End 171.0
Plane 4 | Job 1 | Site 16 | Start 162 | End 195.44802763560295
Plane 5 | Job 1 | Site 4 | Start 164 | End 196.76927754672948
Plane 4 | Job 0 | Site 5 | Start 195 | End 209.81040538832227
Plane 5 | Job 0 | Site 16 | Start 196 | End 212.7623960250787
Plane 2 | Job -1 | Site 2 | Start 200 | End 240.02399040767233
Plane 4 | Job -1 | Site 5 | Start 209 | End 219.0
Plane 5 | Job -1 | Site 6 | Start 212 | End 243.1624667749296
---- End of episode ----
Plane 0 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 1 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 2 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 3 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 4 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 5 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 6 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 7 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 6 | Job 2 | Site 9 | Start 17 | End 27.827007354458868
Plane 7 | Job 2 | Site 4 | Start 22 | End 45.0293863659264
Plane 6 | Job 3 | Site 14 | Start 27 | End 69.00592527576124
Plane 0 | Job 2 | Site 9 | Start 34 | End 64.47059459841546
Plane 5 | Job 2 | Site 17 | Start 37 | End 49.46374504447692
Plane 4 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 2 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 1 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 3 | Job 2 | Site 0 | Start 44 | End 50.0
Plane 7 | Job 3 | Site 5 | Start 45 | End 62.11896201004171
Plane 4 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 2 | Job 3 | Site 2 | Start 47 | End 62.0
Plane 1 | Job 3 | Site 1 | Start 49 | End 64.0
Plane 5 | Job 3 | Site 10 | Start 49 | End 85.61133961604416
Plane 3 | Job 3 | Site 0 | Start 50 | End 65.0
Plane 4 | Job 8 | Site 17 | Start 61 | End 75.55888251663025
Plane 2 | Job 8 | Site 3 | Start 62 | End 68.1540659228538
Plane 7 | Job 8 | Site 2 | Start 62 | End 72.35688603012512
Plane 0 | Job 3 | Site 5 | Start 64 | End 107.00803456153253
Plane 1 | Job 8 | Site 1 | Start 64 | End 68.0
Plane 3 | Job 8 | Site 0 | Start 65 | End 69.0
Plane 1 | Job 6 | Site 4 | Start 68 | End 89.29364759102383
Plane 2 | Job 6 | Site 1 | Start 68 | End 87.20594816896262
Plane 3 | Job 6 | Site 16 | Start 69 | End 99.07647173578752
Plane 6 | Job 8 | Site 3 | Start 69 | End 78.7008771254957
Plane 7 | Job 6 | Site 2 | Start 72 | End 87.0
Plane 4 | Job 6 | Site 0 | Start 75 | End 106.95228598154243
Plane 6 | Job 6 | Site 3 | Start 78 | End 93.0
Plane 5 | Job 8 | Site 17 | Start 85 | End 110.61133961604416
Plane 2 | Job 7 | Site 7 | Start 87 | End 122.80369802255369
Plane 7 | Job 7 | Site 1 | Start 87 | End 91.06155281280883
Plane 1 | Job 7 | Site 11 | Start 89 | End 113.7692775467295
Plane 7 | Job 1 | Site 2 | Start 91 | End 103.06155281280883
Plane 6 | Job 7 | Site 15 | Start 93 | End 102.15891053163817
Plane 3 | Job 7 | Site 4 | Start 99 | End 107.76239602507869
Plane 6 | Job 1 | Site 16 | Start 102 | End 113.72046505340853
Plane 7 | Job 0 | Site 2 | Start 103 | End 113.0
Plane 4 | Job 7 | Site 1 | Start 106 | End 110.23606797749979
Plane 0 | Job 8 | Site 5 | Start 107 | End 111.0
Plane 3 | Job 1 | Site 4 | Start 107 | End 117.0
Plane 4 | Job 1 | Site 3 | Start 110 | End 124.20594816896262
Plane 5 | Job 6 | Site 1 | Start 110 | End 139.71665722914005
Plane 0 | Job 6 | Site 5 | Start 111 | End 126.0
Plane 1 | Job 1 | Site 2 | Start 113 | End 149.07220742476557
Plane 6 | Job 0 | Site 16 | Start 113 | End 123.0
Plane 7 | Job -1 | Site 6 | Start 113 | End 153.02399040767233
Plane 3 | Job 0 | Site 4 | Start 117 | End 127.0
Plane 2 | Job 1 | Site 0 | Start 122 | End 167.80349144985723
Plane 6 | Job -1 | Site 14 | Start 123 | End 136.3600595232823
Plane 4 | Job 0 | Site 16 | Start 124 | End 142.73670418407306
Plane 0 | Job 7 | Site 7 | Start 126 | End 153.98557292037256
Plane 3 | Job -1 | Site 4 | Start 127 | End 137.0
Plane 5 | Job 7 | Site 11 | Start 139 | End 168.8677232654553
Plane 4 | Job -1 | Site 14 | Start 142 | End 155.3600595232823
Plane 1 | Job 0 | Site 16 | Start 149 | End 169.85587398600407
Plane 0 | Job 1 | Site 5 | Start 153 | End 188.98557292037256
Plane 2 | Job 0 | Site 2 | Start 167 | End 181.27200187265876
Plane 5 | Job 1 | Site 1 | Start 168 | End 205.8677232654553
Plane 1 | Job -1 | Site 4 | Start 169 | End 185.7623960250787
Plane 2 | Job -1 | Site 2 | Start 181 | End 191.0
Plane 0 | Job 0 | Site 5 | Start 188 | End 198.0
Plane 0 | Job -1 | Site 4 | Start 198 | End 210.1189620100417
Plane 5 | Job 0 | Site 16 | Start 205 | End 227.84133949399362
Plane 5 | Job -1 | Site 6 | Start 227 | End 258.1624667749296
---- End of episode ----
Plane 0 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 1 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 2 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 3 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 4 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 5 | Job 4 | Site 17 | Start 0 | End 34.9959088373089
Plane 6 | Job 4 | Site 7 | Start 0 | End 17.242703172337905
Plane 7 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 6 | Job 2 | Site 9 | Start 17 | End 27.827007354458868
Plane 7 | Job 2 | Site 4 | Start 22 | End 45.0293863659264
Plane 6 | Job 3 | Site 14 | Start 27 | End 69.00592527576124
Plane 5 | Job 2 | Site 9 | Start 34 | End 64.47059459841546
Plane 4 | Job 2 | Site 17 | Start 37 | End 49.46374504447692
Plane 2 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 1 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 0 | Job 2 | Site 1 | Start 43 | End 49.0
Plane 3 | Job 2 | Site 0 | Start 44 | End 50.0
