Plane 3 | Job 0 | Site 1 | Start 147 | End 191.53056616969957
Plane 5 | Job 7 | Site 5 | Start 150 | End 156.81040538832227
Plane 1 | Job 0 | Site 14 | Start 155 | End 168.62491379207836
Plane 5 | Job 1 | Site 2 | Start 156 | End 172.3568860301251
Plane 7 | Job 1 | Site 16 | Start 158 | End 188.38357181653893
Plane 1 | Job -1 | Site 8 | Start 168 | End 203.90308861892728
Plane 5 | Job 0 | Site 5 | Start 172 | End 188.3568860301251
Plane 0 | Job 0 | Site 0 | Start 180 | End 190.0
Plane 4 | Job 1 | Site 10 | Start 180 | End 194.0024992192379
Plane 5 | Job -1 | Site 14 | Start 188 | End 199.52643375224739
Plane 7 | Job 0 | Site 2 | Start 188 | End 208.85587398600407
Plane 0 | Job -1 | Site 12 | Start 190 | End 225.93472575524947
Plane 3 | Job -1 | Site 0 | Start 191 | End 203.2360679774998
Plane 4 | Job 0 | Site 10 | Start 194 | End 204.0
Plane 4 | Job -1 | Site 4 | Start 204 | End 240.24880949681338
Plane 7 | Job -1 | Site 2 | Start 208 | End 218.0
---- End of episode ----
Plane 0 | Job 4 | Site 15 | Start 0 | End 36.399563950724726
Plane 1 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 2 | Job 4 | Site 13 | Start 0 | End 22.373021376320203
Plane 3 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 4 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 5 | Job 4 | Site 9 | Start 0 | End 12.440306508910549
Plane 6 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 7 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 5 | Job 2 | Site 4 | Start 12 | End 47.75936827286493
Plane 2 | Job 2 | Site 9 | Start 22 | End 44.3713163795707
Plane 0 | Job 2 | Site 15 | Start 36 | End 42.0
Plane 3 | Job 2 | Site 11 | Start 37 | End 64.242645786248
Plane 6 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 7 | Job 2 | Site 2 | Start 41 | End 47.0
Plane 0 | Job 3 | Site 12 | Start 42 | End 74.88994130789702
Plane 1 | Job 2 | Site 15 | Start 43 | End 60.32166065557522
Plane 2 | Job 3 | Site 6 | Start 44 | End 66.4846509604657
Plane 4 | Job 2 | Site 9 | Start 44 | End 87.13825520941984
Plane 6 | Job 3 | Site 3 | Start 46 | End 61.0
Plane 5 | Job 3 | Site 4 | Start 47 | End 62.0
Plane 7 | Job 3 | Site 1 | Start 47 | End 64.06155281280883
Plane 1 | Job 3 | Site 14 | Start 60 | End 76.64012194668567
Plane 6 | Job 8 | Site 2 | Start 61 | End 67.1540659228538
Plane 5 | Job 8 | Site 4 | Start 62 | End 66.0
Plane 3 | Job 3 | Site 1 | Start 64 | End 106.86772326545533
Plane 7 | Job 8 | Site 0 | Start 64 | End 70.23606797749979
Plane 2 | Job 8 | Site 13 | Start 66 | End 86.9008875506584
Plane 5 | Job 6 | Site 4 | Start 66 | End 81.0
Plane 6 | Job 6 | Site 3 | Start 67 | End 84.1540659228538
Plane 7 | Job 6 | Site 10 | Start 70 | End 118.39176545197932
Plane 0 | Job 8 | Site 7 | Start 74 | End 91.09198227924252
Plane 1 | Job 8 | Site 2 | Start 76 | End 87.8549347546622
Plane 5 | Job 7 | Site 17 | Start 81 | End 91.523496934944
Plane 6 | Job 7 | Site 5 | Start 84 | End 90.20594816896262
Plane 2 | Job 6 | Site 8 | Start 86 | End 117.56411784551173
Plane 1 | Job 6 | Site 0 | Start 87 | End 106.27200187265876
Plane 4 | Job 3 | Site 4 | Start 87 | End 131.75936827286495
Plane 6 | Job 1 | Site 2 | Start 90 | End 106.35688603012512
Plane 0 | Job 6 | Site 14 | Start 91 | End 130.80846629681085
Plane 5 | Job 1 | Site 6 | Start 91 | End 120.25746608461247
Plane 1 | Job 7 | Site 9 | Start 106 | End 145.13825520941984
Plane 3 | Job 8 | Site 1 | Start 106 | End 110.0
Plane 6 | Job 0 | Site 2 | Start 106 | End 116.0
Plane 3 | Job 6 | Site 3 | Start 110 | End 129.2059481689626
Plane 6 | Job -1 | Site 0 | Start 116 | End 130.27200187265876
Plane 2 | Job 7 | Site 11 | Start 117 | End 127.36480723029527
Plane 7 | Job 7 | Site 2 | Start 118 | End 149.7415534227787
Plane 5 | Job 0 | Site 6 | Start 120 | End 130.0
Plane 2 | Job 1 | Site 5 | Start 127 | End 158.242645786248
Plane 3 | Job 7 | Site 1 | Start 129 | End 135.2059481689626
Plane 0 | Job 7 | Site 17 | Start 130 | End 136.94064773081425
Plane 5 | Job -1 | Site 12 | Start 130 | End 153.1590273196768
Plane 4 | Job 8 | Site 7 | Start 131 | End 162.90340481016608
Plane 3 | Job 1 | Site 6 | Start 135 | End 177.04512443414754
Plane 0 | Job 1 | Site 16 | Start 136 | End 148.00997512422418
Plane 1 | Job 1 | Site 10 | Start 145 | End 159.0024992192379
Plane 0 | Job 0 | Site 4 | Start 148 | End 164.7623960250787
Plane 7 | Job 1 | Site 16 | Start 149 | End 169.85587398600407
Plane 2 | Job 0 | Site 3 | Start 158 | End 172.2059481689626
Plane 1 | Job 0 | Site 12 | Start 159 | End 177.2
Plane 4 | Job 6 | Site 10 | Start 162 | End 183.2609903369994
Plane 0 | Job -1 | Site 4 | Start 164 | End 174.0
Plane 7 | Job 0 | Site 16 | Start 169 | End 179.0
Plane 2 | Job -1 | Site 14 | Start 172 | End 187.70087712549568
Plane 1 | Job -1 | Site 12 | Start 177 | End 187.0
Plane 3 | Job 0 | Site 2 | Start 177 | End 217.02399040767233
Plane 7 | Job -1 | Site 8 | Start 179 | End 213.8278069913555
Plane 4 | Job 7 | Site 5 | Start 183 | End 209.59044529893674
Plane 4 | Job 1 | Site 3 | Start 209 | End 223.2059481689626
Plane 3 | Job -1 | Site 14 | Start 217 | End 234.8549347546622
Plane 4 | Job 0 | Site 8 | Start 223 | End 263.70260575260676
Plane 4 | Job -1 | Site 0 | Start 263 | End 309.45490364820625
---- End of episode ----
Plane 0 | Job 4 | Site 15 | Start 0 | End 36.399563950724726
Plane 1 | Job 4 | Site 9 | Start 0 | End 12.440306508910549
Plane 2 | Job 4 | Site 1 | Start 0 | End 43.31888188225814
Plane 3 | Job 4 | Site 3 | Start 0 | End 40.156781834950394
Plane 4 | Job 4 | Site 0 | Start 0 | End 44.85148772213166
Plane 5 | Job 4 | Site 11 | Start 0 | End 16.066271716414413
Plane 6 | Job 4 | Site 5 | Start 0 | End 37.21377571349031
Plane 7 | Job 4 | Site 2 | Start 0 | End 41.6547601177967
Plane 1 | Job 2 | Site 17 | Start 12 | End 42.47059459841546
Plane 5 | Job 2 | Site 13 | Start 16 | End 30.296987405076617
Plane 5 | Job 3 | Site 4 | Start 30 | End 62.0293863659264
Plane 0 | Job 2 | Site 9 | Start 36 | End 68.51735280905694
Plane 6 | Job 2 | Site 13 | Start 37 | End 59.058953888718904
Plane 3 | Job 2 | Site 3 | Start 40 | End 46.0
Plane 7 | Job 2 | Site 5 | Start 41 | End 53.356886030125125
Plane 1 | Job 3 | Site 8 | Start 42 | End 80.05862094748946
Plane 2 | Job 2 | Site 17 | Start 43 | End 63.71665722914005
Plane 4 | Job 2 | Site 1 | Start 44 | End 52.236067977499786
Plane 3 | Job 3 | Site 2 | Start 46 | End 63.1540659228538
Plane 4 | Job 3 | Site 10 | Start 52 | End 98.59446153995981
Plane 7 | Job 3 | Site 14 | Start 53 | End 69.52643375224737
Plane 6 | Job 3 | Site 0 | Start 59 | End 96.50799857828324
Plane 5 | Job 8 | Site 5 | Start 62 | End 68.11896201004171
Plane 2 | Job 3 | Site 4 | Start 63 | End 86.523496934944
Plane 3 | Job 8 | Site 7 | Start 63 | End 98.81571938523471
Plane 0 | Job 3 | Site 3 | Start 68 | End 114.57625690293261
Plane 5 | Job 6 | Site 12 | Start 68 | End 101.30983342360055
Plane 7 | Job 8 | Site 5 | Start 69 | End 74.52643375224737
Plane 7 | Job 6 | Site 2 | Start 74 | End 95.35688603012512
Plane 1 | Job 8 | Site 13 | Start 80 | End 100.56411784551173
Plane 2 | Job 8 | Site 5 | Start 86 | End 92.11896201004171
Plane 2 | Job 6 | Site 5 | Start 92 | End 107.0
Plane 7 | Job 7 | Site 1 | Start 95 | End 99.06155281280883
Plane 6 | Job 8 | Site 17 | Start 96 | End 116.95228598154243
Plane 3 | Job 6 | Site 8 | Start 98 | End 115.57099202643649
Plane 4 | Job 8 | Site 0 | Start 98 | End 135.39176545197932
Plane 7 | Job 1 | Site 1 | Start 99 | End 109.0
Plane 1 | Job 6 | Site 14 | Start 100 | End 130.82213639177718
Plane 5 | Job 7 | Site 7 | Start 101 | End 116.09198227924252
Plane 2 | Job 7 | Site 11 | Start 107 | End 130.242645786248
Plane 7 | Job 0 | Site 2 | Start 109 | End 121.06155281280883
Plane 0 | Job 8 | Site 4 | Start 114 | End 120.0880613017821
Plane 3 | Job 7 | Site 3 | Start 115 | End 147.70260575260673
Plane 5 | Job 1 | Site 1 | Start 116 | End 159.8036980225537
Plane 6 | Job 6 | Site 12 | Start 116 | End 148.1968020282842
Plane 0 | Job 6 | Site 8 | Start 120 | End 163.81961137836527
Plane 7 | Job -1 | Site 16 | Start 121 | End 141.85587398600407
Plane 1 | Job 7 | Site 15 | Start 130 | End 133.64012194668567
Plane 2 | Job 1 | Site 6 | Start 130 | End 149.94786409235672
Plane 1 | Job 1 | Site 5 | Start 133 | End 146.1144823004795
Plane 4 | Job 6 | Site 0 | Start 135 | End 150.0
Plane 1 | Job 0 | Site 14 | Start 146 | End 157.52643375224739
Plane 3 | Job 1 | Site 3 | Start 147 | End 157.0
Plane 6 | Job 7 | Site 5 | Start 148 | End 168.30983342360057
Plane 2 | Job 0 | Site 6 | Start 149 | End 159.0
Plane 4 | Job 7 | Site 0 | Start 150 | End 152.0
