episode,epoch,episode_reward,episode_duration,wait_time,epsilon,original_episode
281,70,27.2765,50.0,9.2935,0.47155,456
282,70,24.5912,50.0,11.15,0.469675,457
283,70,30.1986,50.0,8.504,0.4678,458
284,71,30.8099,50.0,9.3485,0.465925,459
285,71,26.7199,50.0,8.7763,0.46405,460
286,71,24.9559,50.0,9.3554,0.462175,461
287,71,33.9093,50.0,4.8948,0.4603,462
288,72,26.4844,50.0,8.5708,0.458425,468
289,72,26.3586,50.0,11.61,0.45655,469
290,72,33.6268,50.0,4.7854,0.454675,470
291,72,30.6128,50.0,9.5505,0.4528,471
292,73,27.4575,50.0,9.8802,0.450925,472
293,73,37.9292,50.0,5.4736,0.44905,473
294,73,32.2998,50.0,7.0046,0.447175,474
295,73,31.1223,50.0,5.663,0.4453,475
296,74,23.6872,50.0,10.7383,0.443425,481
297,74,29.0311,50.0,7.8027,0.44155,482
298,74,26.9015,50.0,11.6169,0.439675,483
299,74,31.4277,50.0,5.1887,0.4378,484
300,75,23.3699,50.0,11.7059,0.435925,485
301,75,30.7822,50.0,5.9281,0.43405,486
302,75,29.4565,50.0,8.8206,0.432175,487
303,75,30.5479,50.0,6.9769,0.4303,488
304,76,22.5708,50.0,11.2763,0.428425,494
305,76,22.5895,50.0,10.6942,0.42655,495
306,76,37.2445,50.0,6.8678,0.424675,496
307,76,23.1406,50.0,9.935,0.4228,497
308,77,32.1459,50.0,9.1013,0.420925,498
309,77,32.0123,50.0,6.2179,0.41905,499
310,77,26.1831,50.0,10.9092,0.417175,500
311,77,28.0028,50.0,11.3796,0.4153,501
312,78,12.168,50.0,14.9421,0.413425,507
313,78,25.8926,50.0,7.9901,0.41155,508
314,78,31.2414,50.0,6.4971,0.409675,509
315,78,24.2675,50.0,8.7644,0.4078,510
316,79,30.6313,50.0,9.7726,0.405925,511
317,79,27.9333,50.0,9.8356,0.40405,512
318,79,17.3379,50.0,13.9277,0.402175,513
319,79,29.3556,50.0,6.4652,0.4003,514
320,80,30.344,50.0,8.1166,0.398425,520
321,80,31.9768,50.0,6.878,0.39655,521
322,80,28.3503,50.0,8.1422,0.394675,522
323,80,34.674,50.0,5.9684,0.3928,523
324,81,33.9584,50.0,6.8514,0.390925,524
325,81,21.6277,50.0,10.796,0.389087,525
