episode,epoch,episode_reward,episode_duration,wait_time,epsilon
328,50,3.8712,50.00,8.4242,0.697425
329,51,4.4638,50.00,11.7776,0.695941
330,51,4.3373,50.00,8.9192,0.694456
331,51,4.5133,50.00,8.1037,0.692972
332,51,3.8464,50.00,6.4394,0.691488
338,52,3.5694,50.00,8.6973,0.690033
339,52,4.1823,50.00,8.6942,0.688548
340,52,3.1576,50.00,6.6994,0.687064
341,52,2.2437,50.00,14.3764,0.685580
342,53,2.8120,50.00,11.2234,0.684095
343,53,4.3736,50.00,8.3664,0.682611
344,53,3.4495,50.00,7.3500,0.681127
345,53,3.3734,50.00,11.8643,0.679642
351,54,2.2495,50.00,7.9253,0.678158
352,54,3.5028,50.00,6.3769,0.676673
353,54,4.4465,50.00,8.1288,0.675189
354,54,2.7147,50.00,11.5062,0.673705
355,55,5.2046,50.00,8.5275,0.672220
356,55,4.8248,50.00,9.2421,0.670736
357,55,4.5312,50.00,10.2019,0.669252
358,55,3.0565,50.00,11.4718,0.667767
364,56,1.9427,50.00,12.8994,0.666283
365,56,5.0848,50.00,4.6486,0.664798
366,56,3.6674,50.00,6.6063,0.663314
367,56,2.8522,50.00,6.5984,0.661830
368,57,4.7336,50.00,8.8646,0.660375
369,57,4.6551,50.00,10.9767,0.658891
370,57,4.4026,50.00,10.0614,0.657406
371,57,4.5793,50.00,7.4346,0.655922
377,58,2.1992,50.00,11.4015,0.654438
378,58,3.7023,50.00,7.5173,0.652953
379,58,5.3502,50.00,9.7548,0.651469
380,58,4.7778,50.00,7.6401,0.649984
381,59,4.8104,50.00,6.2363,0.648500
382,59,3.5334,50.00,7.2640,0.647016
383,59,3.0267,50.00,7.0608,0.645531
384,59,4.4539,50.00,6.3363,0.644047
390,60,1.7027,50.00,9.9337,0.642563
391,60,3.1164,50.00,10.2878,0.641078
392,60,3.9782,50.00,9.9555,0.639594
393,60,4.4305,50.00,7.1606,0.638109
394,61,3.5064,50.00,5.8305,0.636625
395,61,5.9714,50.00,9.0404,0.635141
396,61,4.4963,50.00,9.3352,0.633656
397,61,4.6019,50.00,8.5532,0.632172
403,62,3.3950,50.00,6.9825,0.630688
404,62,5.8202,50.00,8.0740,0.629203
405,62,2.2523,50.00,11.7619,0.627719
406,62,4.8865,50.00,5.6823,0.626234
407,63,4.6541,50.00,9.4025,0.624750
408,63,4.0098,50.00,4.3254,0.623266
409,63,5.1088,50.00,8.8377,0.621781
410,63,4.2605,50.00,7.5016,0.620297
416,64,2.8285,50.00,9.5049,0.618812
417,64,4.5230,50.00,5.3334,0.617328
418,64,2.6135,50.00,6.9648,0.615844
419,64,4.8245,50.00,11.0490,0.614359
420,65,2.6630,50.00,8.4163,0.612905
421,65,3.0417,50.00,7.3598,0.611420
422,65,4.2134,50.00,8.3749,0.609936
423,65,4.4296,50.00,7.1740,0.608452
429,66,2.7964,50.00,11.2302,0.606967
430,66,4.2409,50.00,8.2146,0.605483
431,66,3.3175,50.00,7.1884,0.603998
432,66,2.7707,50.00,7.2980,0.602514
433,67,3.4221,50.00,10.4281,0.601030
434,67,6.0666,50.00,9.2372,0.599545
435,67,4.9990,50.00,9.5766,0.598061
436,67,2.8921,50.00,10.6411,0.596577
442,68,2.6507,50.00,8.0021,0.595092
443,68,3.3904,50.00,7.3231,0.593608
444,68,3.8535,50.00,10.8227,0.592123
445,68,3.2097,50.00,9.3067,0.590639
446,69,3.9852,50.00,10.9763,0.589155
447,69,3.8483,50.00,10.7958,0.587670
448,69,2.1303,50.00,9.3381,0.586186
449,69,3.8747,50.00,4.8948,0.584702
455,70,2.2268,50.00,10.8512,0.583217
456,70,3.8441,50.00,10.1697,0.581733
457,70,4.4733,50.00,6.4298,0.580248
458,70,4.3245,50.00,9.2921,0.578764
459,71,4.1440,50.00,7.7108,0.577280
460,71,0.7599,50.00,11.6802,0.575795
461,71,3.8807,50.00,7.6404,0.574311
462,71,3.1797,50.00,5.9611,0.572827
468,72,2.4189,50.00,10.1235,0.571342
469,72,3.8837,50.00,8.2121,0.569858
470,72,4.1727,50.00,7.5271,0.568373
471,72,4.3429,50.00,5.3357,0.566889
472,73,3.0446,50.00,7.4103,0.565405
473,73,3.9661,50.00,6.7534,0.563920
474,73,3.0566,50.00,8.0835,0.562436
475,73,5.4620,50.00,7.2535,0.560952
481,74,2.6078,50.00,8.8090,0.559467
482,74,2.4491,50.00,8.7328,0.557983
483,74,4.7370,50.00,5.1873,0.556498
484,74,3.8893,50.00,3.4075,0.555044
485,75,2.7838,50.00,8.1947,0.553559
486,75,3.9955,50.00,12.3308,0.552075
487,75,1.6274,50.00,12.7146,0.550591
488,75,4.9516,50.00,3.2205,0.549106
494,76,1.2452,50.00,9.3756,0.547622
495,76,3.6443,50.00,6.9525,0.546137
496,76,3.0188,50.00,8.8091,0.544653
497,76,1.7752,50.00,11.7767,0.543169
498,77,3.9985,50.00,7.7548,0.541684
499,77,3.8316,50.00,7.1527,0.540200
500,77,4.8575,50.00,9.8393,0.538716
501,77,5.1292,50.00,6.5267,0.537231
507,78,1.9339,50.00,11.7694,0.535747
508,78,5.2988,50.00,4.8409,0.534263
509,78,3.0181,50.00,7.9632,0.532778
510,78,2.9243,50.00,8.5915,0.531294
511,79,3.0663,50.00,8.1586,0.529809
512,79,3.6031,50.00,10.8112,0.528325
513,79,1.8694,50.00,10.8304,0.526841
514,79,4.6732,50.00,8.5604,0.525356
520,80,1.9830,50.00,9.5291,0.523872
521,80,3.4055,50.00,9.6282,0.522388
522,80,3.2995,50.00,8.3457,0.520903
523,80,5.4230,50.00,4.9923,0.519419
524,81,3.8930,50.00,7.4267,0.517934
525,81,3.3286,50.00,7.1608,0.516450
526,81,4.0586,50.00,9.6577,0.514966
527,81,2.7986,50.00,13.3731,0.513481
533,82,4.0275,50.00,4.9423,0.511997
534,82,2.7866,50.00,7.9118,0.510513
535,82,5.6457,50.00,8.9352,0.509028
536,82,3.9015,50.00,8.7461,0.507544
537,83,3.9061,50.00,9.9907,0.506059
538,83,5.2560,50.00,8.5140,0.504575
539,83,4.0161,50.00,8.1965,0.503091
540,83,4.3088,50.00,9.1273,0.501606
546,84,3.3748,50.00,8.0216,0.500122
547,84,2.2679,50.00,13.1306,0.498637
548,84,1.4015,50.00,13.0063,0.497153
549,84,2.9797,50.00,11.5626,0.495669
550,85,4.3944,50.00,3.9054,0.494184
551,85,4.9581,50.00,6.8977,0.492700
552,85,2.9703,50.00,10.1606,0.491216
553,85,3.0722,50.00,8.4130,0.489731
559,86,4.3335,50.00,6.6632,0.488247
560,86,3.2169,50.00,10.8018,0.486762
561,86,3.3794,50.00,6.9000,0.485278
562,86,3.2792,50.00,6.6440,0.483794
563,87,6.1605,50.00,4.2313,0.482309
564,87,4.5025,50.00,7.9506,0.480825
565,87,3.2137,50.00,8.2900,0.479341
566,87,3.6623,50.00,8.7073,0.477856
572,88,1.3282,50.00,14.9445,0.476372
573,88,3.6006,50.00,4.8123,0.474888
574,88,5.7082,50.00,4.5465,0.473403
575,88,3.7840,50.00,5.0140,0.471919
576,89,4.8216,50.00,9.5830,0.470434
577,89,4.5700,50.00,7.5190,0.468950
578,89,3.8577,50.00,7.4900,0.467466
579,89,2.9897,50.00,10.8871,0.465981
585,90,3.4902,50.00,8.0958,0.464497
586,90,3.1531,50.00,7.2111,0.463013
587,90,1.9301,50.00,8.8386,0.461528
588,90,2.7576,50.00,10.8011,0.460044
589,91,4.2795,50.00,9.3325,0.458559
590,91,3.3033,50.00,9.7305,0.457075
591,91,4.2641,50.00,4.6811,0.455591
592,91,2.7163,50.00,6.5871,0.454106
598,92,3.5098,50.00,6.1142,0.452622
599,92,3.4441,50.00,7.2682,0.451138
600,92,2.7188,50.00,9.5197,0.449653
601,92,0.1801,50.00,10.2465,0.448169
602,93,4.6861,50.00,7.5330,0.446684
603,93,5.1354,50.00,8.5715,0.445200
604,93,5.2831,50.00,5.0142,0.443716
605,93,2.1462,50.00,11.7748,0.442231
611,94,2.0505,50.00,10.2981,0.440747
612,94,3.0681,50.00,10.8191,0.439263
613,94,5.4038,50.00,7.1286,0.437778
614,94,3.3715,50.00,8.4711,0.436294
615,95,1.8939,50.00,12.9845,0.434809
616,95,2.6955,50.00,11.1809,0.433325
617,95,2.8949,50.00,11.0141,0.431841
618,95,3.0162,50.00,7.5054,0.430356
624,96,5.4322,50.00,9.1019,0.428872
625,96,2.0655,50.00,8.9106,0.427388
626,96,4.2273,50.00,4.5681,0.425903
627,96,3.5670,50.00,10.6509,0.424419
628,97,3.7519,50.00,12.0740,0.422934
629,97,4.0810,50.00,9.4314,0.421450
630,97,2.7814,50.00,7.6930,0.419966
631,97,4.6243,50.00,7.8888,0.418481
637,98,5.1313,50.00,9.1051,0.416997
638,98,2.8712,50.00,7.8092,0.415513
639,98,4.0353,50.00,7.3286,0.414028
640,98,2.6254,50.00,9.6790,0.412544
641,99,4.5469,50.00,6.6617,0.411059
642,99,4.5030,50.00,6.3892,0.409575
643,99,3.2284,50.00,9.2827,0.408091
644,99,4.9936,50.00,7.5363,0.406606
650,100,3.7228,50.00,9.0323,0.405122
651,100,3.5380,50.00,6.3543,0.403637
652,100,2.8928,50.00,12.9645,0.402153
653,100,5.5331,50.00,7.5825,0.400669
654,101,2.8766,50.00,8.7813,0.399184
655,101,5.1334,50.00,8.8686,0.397700
656,101,4.2070,50.00,6.4923,0.396216
657,101,3.0358,50.00,9.8565,0.394731
663,102,4.4561,50.00,10.2155,0.393247
664,102,3.5178,50.00,8.2090,0.391763
665,102,3.4203,50.00,4.4165,0.390278
666,102,3.9533,50.00,9.2870,0.388794
667,103,5.3276,50.00,7.3438,0.387309
668,103,6.1737,50.00,7.7313,0.385825
669,103,3.0496,50.00,9.2146,0.384341
670,103,4.1929,50.00,6.6138,0.382856
676,104,3.3997,50.00,8.7059,0.381372
677,104,5.6823,50.00,8.0084,0.379887
