episode,reward,time
1,65.02941176470588,255
2,57.09457900807382,289
3,64.66602316602317,259
4,67.72139303482587,268
0,62.160649819494566,277
1,66.8157894736842,228
2,58.072463768115945,276
3,64.4613553113553,273
4,62.92857142857143,280
0,63.19874835309618,253
1,65.21541501976284,253
2,61.263688212927754,263
3,60.92941176470589,255
4,58.75231316725979,281
0,65.42802197802197,273
1,57.941358024691354,243
2,66.29338842975207,242
3,61.95524344569288,267
4,63.61009389671361,284
0,63.01274509803921,255
1,58.6520202020202,297
2,67.54638554216868,249
3,65.5,250
4,61.79630350194553,257
0,59.429020979020976,286
1,57.385964912280706,285
2,62.47802197802198,273
3,64.87857142857142,280
4,62.45,250
0,57.91606714628297,278
1,63.80483271375465,269
2,56.12802197802198,273
3,60.30076335877863,262
4,56.33333333333333,300
0,61.143983152827914,277
1,56.20877742946709,319
2,58.23114355231144,274
3,59.78805970149254,268
4,62.55882352941177,272
0,63.981914893617024,235
1,58.30592334494773,287
2,65.82963683527886,257
3,57.80639097744361,266
4,64.38114355231144,274
0,61.26368821292776,263
1,63.873728813559325,236
2,60.47692307692307,260
3,61.33695652173914,230
4,61.97941176470589,255
0,58.18684210526316,304
1,58.90537634408602,279
2,67.07349726775956,244
3,61.77659574468085,282
4,61.8875,256
0,56.79150943396226,265
1,63.75581395348837,258
2,64.14150943396226,265
3,62.739147286821705,258
4,66.95639097744362,266
0,63.1510729613734,233
1,64.87139303482587,268
2,68.16666666666666,225
3,67.54638554216868,249
4,65.6493564993565,259
0,57.333554817275754,301
1,60.50882352941177,272
2,59.06060606060606,264
3,65.38409669211197,262
4,57.22802197802198,273
0,59.770833333333336,256
1,63.87357723577236,246
2,59.87857142857143,280
3,63.47802197802198,273
4,62.560256410256414,260
0,61.26124567474048,289
1,58.31135531135531,273
2,66.57971887550201,249
3,62.47183908045977,261
4,56.881278538812786,292
0,62.45,250
1,53.38076923076923,312
2,64.66602316602317,259
3,63.38925667828107,287
4,57.83870967741936,279
0,65.23440629470673,233
1,63.14135802469136,243
2,55.939655172413794,290
3,53.214071856287426,334
4,67.07349726775956,244
0,60.90816326530612,294
1,61.06606714628297,278
2,64.69354838709677,248
3,62.82963683527886,257
4,62.739147286821705,258
0,56.23114355231143,274
1,65.12484276729559,265
2,64.69354838709677,248
3,63.84630350194551,257
4,59.378021978021984,273
0,62.739147286821705,258
1,63.67688172043011,248
2,60.42802197802198,273
3,57.390221402214024,271
4,59.87857142857143,280
0,61.623554735547344,271
1,62.124842767295604,265
2,56.333333333333336,300
3,61.091509433962266,265
4,59.060649819494586,277
0,56.15592334494774,287
1,60.74630350194553,257
2,60.50882352941177,272
3,57.31235431235431,286
4,63.3978102189781,274
0,60.12727272727273,264
1,64.09102564102565,234
2,60.672222222222224,270
3,63.268181818181816,275
4,57.80816326530613,294
0,63.87357723577236,246
1,54.30263157894737,285
2,59.60828025477707,314
3,63.9375,256
4,57.76190476190476,280
0,56.706390977443604,266
1,59.54022140221403,271
2,59.502631578947366,285
