# Reward Formula: R_total = R_global / reward_scale
# R_global = w1*CompletedNorm - w2*AvgWaitNorm - w3*WIPNorm + w4*ThroughputDelta + w5*LoadBalance
# Coefficients: w1=1.0, w2=0.0, w3=0.0, w4=0.0, w5=0.0
# reward_scale=2.0
# LoadBalance: lambda_m=0.8, lambda_o=0.2
# CompletedNorm: fraction of jobs completed [0,1]
# AvgWaitNorm: normalized average wait time [0,1]
# WIPNorm: work-in-progress ratio [0,1]
# ThroughputDelta: change in completed jobs (normalized) - immediate feedback!
# LoadBalance: entropy-based load distribution [0,1] - higher is better
#
step,sim_time,CompletedNorm,AvgWaitNorm,WIPNorm,ThroughputDelta,LoadBalance,R_global,R_total
154,57.00,0.730769,0.065383,0.269231,0.038462,0.952133,0.730769,0.365385
155,58.00,0.740741,0.063933,0.259259,0.037037,0.952133,0.740741,0.370370
156,59.00,0.724138,0.059744,0.275862,0.034483,0.950887,0.724138,0.362069
157,60.00,0.758621,0.060113,0.241379,0.034483,0.959869,0.758621,0.379310
158,61.00,0.758621,0.060113,0.241379,0.000000,0.959869,0.758621,0.379310
159,62.00,0.733333,0.058668,0.266667,0.000000,0.948802,0.733333,0.366667
160,63.00,0.733333,0.059301,0.266667,0.000000,0.959120,0.733333,0.366667
161,64.00,0.741935,0.058041,0.258065,0.032258,0.965693,0.741935,0.370968
162,65.00,0.781250,0.056227,0.218750,0.062500,0.957264,0.781250,0.390625
163,66.00,0.757576,0.055030,0.242424,0.000000,0.953486,0.757576,0.378788
164,67.00,0.735294,0.054611,0.264706,0.000000,0.963340,0.735294,0.367647
165,68.00,0.735294,0.054664,0.264706,0.000000,0.953486,0.735294,0.367647
166,69.00,0.694444,0.052023,0.277778,0.000000,0.961915,0.694444,0.347222
167,70.00,0.657895,0.050158,0.263158,0.000000,0.949314,0.657895,0.328947
168,71.00,0.641026,0.049647,0.256410,0.000000,0.941055,0.641026,0.320513
169,72.00,0.641026,0.050121,0.256410,0.000000,0.952787,0.641026,0.320513
170,73.00,0.650000,0.050419,0.250000,0.025000,0.951940,0.650000,0.325000
171,74.00,0.675000,0.068682,0.250000,0.025000,0.951940,0.675000,0.337500
172,75.00,0.675000,0.069438,0.250000,0.000000,0.959247,0.675000,0.337500
173,76.00,0.675000,0.071841,0.250000,0.000000,0.967677,0.675000,0.337500
174,77.00,0.658537,0.072043,0.243902,0.000000,0.973168,0.658537,0.329268
175,78.00,0.682927,0.072819,0.243902,0.024390,0.952187,0.682927,0.341463
176,79.00,0.682927,0.075365,0.243902,0.000000,0.962035,0.682927,0.341463
177,80.00,0.666667,0.073570,0.238095,0.000000,0.961637,0.666667,0.333333
178,81.00,0.666667,0.074123,0.238095,0.000000,0.970858,0.666667,0.333333
179,82.00,0.714286,0.078059,0.238095,0.047619,0.976109,0.714286,0.357143
180,83.00,0.714286,0.081064,0.238095,0.000000,0.982484,0.714286,0.357143
181,84.00,0.714286,0.081778,0.238095,0.000000,0.982484,0.714286,0.357143
182,85.00,0.714286,0.083279,0.238095,0.000000,0.981360,0.714286,0.357143
183,86.00,0.697674,0.087632,0.232558,0.000000,0.979257,0.697674,0.348837
184,87.00,0.704545,0.085640,0.227273,0.022727,0.972035,0.704545,0.352273
185,88.00,0.688889,0.087113,0.222222,0.000000,0.979136,0.688889,0.344444
186,89.00,0.688889,0.088885,0.222222,0.000000,0.973159,0.688889,0.344444
187,90.00,0.688889,0.088980,0.222222,0.000000,0.968664,0.688889,0.344444
188,91.00,0.688889,0.089180,0.222222,0.000000,0.975725,0.688889,0.344444
189,92.00,0.688889,0.090308,0.222222,0.000000,0.966455,0.688889,0.344444
190,93.00,0.688889,0.091664,0.222222,0.000000,0.958716,0.688889,0.344444
191,94.00,0.711111,0.091670,0.222222,0.022222,0.958716,0.711111,0.355556
192,95.00,0.711111,0.092185,0.222222,0.000000,0.964289,0.711111,0.355556
193,96.00,0.711111,0.095041,0.222222,0.000000,0.963632,0.711111,0.355556
194,97.00,0.733333,0.098733,0.222222,0.022222,0.975622,0.733333,0.366667
195,98.00,0.717391,0.099226,0.217391,0.000000,0.969024,0.717391,0.358696
196,99.00,0.723404,0.098056,0.212766,0.021277,0.960594,0.723404,0.361702
197,100.00,0.729167,0.104101,0.208333,0.020833,0.953901,0.729167,0.364583
198,1.00,0.000000,0.000000,0.500000,0.000000,0.953901,0.000000,0.000000
199,3.00,0.000000,0.003708,0.600000,0.000000,0.951230,0.000000,0.000000
200,4.00,0.100000,0.008357,0.600000,0.100000,0.951230,0.100000,0.050000
201,5.00,0.100000,0.011214,0.600000,0.000000,0.951230,0.100000,0.050000
202,6.00,0.100000,0.015935,0.600000,0.000000,0.951230,0.100000,0.050000
203,7.00,0.100000,0.017620,0.700000,0.000000,0.951230,0.100000,0.050000
204,8.00,0.100000,0.016271,0.800000,0.000000,0.948877,0.100000,0.050000
205,9.00,0.100000,0.016271,0.800000,0.000000,0.948877,0.100000,0.050000
206,10.00,0.100000,0.016969,0.900000,0.000000,0.956523,0.100000,0.050000
207,11.00,0.200000,0.021878,0.800000,0.100000,0.967484,0.200000,0.100000
208,12.00,0.300000,0.032878,0.700000,0.100000,0.968969,0.300000,0.150000
209,13.00,0.300000,0.036303,0.700000,0.000000,0.963221,0.300000,0.150000
210,14.00,0.300000,0.042987,0.700000,0.000000,0.953367,0.300000,0.150000
211,15.00,0.300000,0.042987,0.700000,0.000000,0.949460,0.300000,0.150000
212,16.00,0.272727,0.040170,0.727273,0.000000,0.943157,0.272727,0.136364
213,17.00,0.250000,0.036953,0.750000,0.000000,0.939514,0.250000,0.125000
214,18.00,0.250000,0.037040,0.750000,0.000000,0.952449,0.250000,0.125000
215,19.00,0.307692,0.037499,0.692308,0.076923,0.952449,0.307692,0.153846
216,20.00,0.285714,0.035560,0.714286,0.000000,0.951828,0.285714,0.142857
217,21.00,0.285714,0.038220,0.714286,0.000000,0.941417,0.285714,0.142857
218,22.00,0.285714,0.050760,0.714286,0.000000,0.934841,0.285714,0.142857
219,23.00,0.266667,0.054442,0.666667,0.000000,0.928241,0.266667,0.133333
220,24.00,0.266667,0.054442,0.666667,0.000000,0.952167,0.266667,0.133333
221,25.00,0.266667,0.060076,0.666667,0.000000,0.950958,0.266667,0.133333
222,26.00,0.250000,0.058821,0.625000,0.000000,0.951180,0.250000,0.125000
223,27.00,0.312500,0.063246,0.625000,0.062500,0.951180,0.312500,0.156250
224,28.00,0.294118,0.063306,0.588235,0.000000,0.949704,0.294118,0.147059
225,29.00,0.277778,0.060900,0.555556,0.000000,0.961355,0.277778,0.138889
226,30.00,0.333333,0.063623,0.555556,0.055556,0.961355,0.333333,0.166667
227,31.00,0.333333,0.069036,0.555556,0.000000,0.976801,0.333333,0.166667
228,32.00,0.444444,0.072869,0.555556,0.111111,0.975786,0.444444,0.222222
229,33.00,0.421053,0.074534,0.526316,0.000000,0.987563,0.421053,0.210526
230,34.00,0.473684,0.078991,0.526316,0.052632,0.987563,0.473684,0.236842
231,35.00,0.500000,0.079889,0.500000,0.050000,0.980626,0.500000,0.250000
232,36.00,0.476190,0.083542,0.476190,0.000000,0.985459,0.476190,0.238095
233,37.00,0.523810,0.084390,0.476190,0.047619,0.989237,0.523810,0.261905
234,38.00,0.521739,0.077961,0.434783,0.043478,0.987134,0.521739,0.260870
235,39.00,0.521739,0.080293,0.434783,0.000000,0.985174,0.521739,0.260870
236,40.00,0.521739,0.081630,0.434783,0.000000,0.980840,0.521739,0.260870
237,41.00,0.541667,0.080804,0.416667,0.041667,0.988000,0.541667,0.270833
238,42.00,0.583333,0.081637,0.416667,0.041667,0.988000,0.583333,0.291667
239,43.00,0.560000,0.081629,0.400000,0.000000,0.988000,0.560000,0.280000
240,44.00,0.600000,0.084899,0.400000,0.040000,0.983608,0.600000,0.300000
241,45.00,0.600000,0.085366,0.400000,0.000000,0.986957,0.600000,0.300000
242,46.00,0.600000,0.088618,0.400000,0.000000,0.984174,0.600000,0.300000
243,47.00,0.576923,0.085979,0.384615,0.000000,0.984131,0.576923,0.288462
244,48.00,0.576923,0.090550,0.384615,0.000000,0.984131,0.576923,0.288462
