Episode,Decision_Point_Index,Timestamp,Num_Agents,Job_Names
11,7122,46.05718939948397,1,Job_Added
12,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
12,1,1.66,3,Job_0
12,2,2.23,1,Job_3
12,3,5.4,1,Job_3
12,5,8.79,1,Job_5
12,6,9.88,1,Job_4
12,7,10.17,4,Job_5
12,8,11.35,2,"Job_4, Job_6"
12,9,14.48,1,Job_4
12,10,15.93,1,Job_7
12,11,16.42,1,Job_8
12,12,17.2,1,Job_9
12,13,17.85,1,Job_6
12,14,18.87,1,Job_8
12,15,19.78,1,Job_7
12,16,20.65,1,Job_6
12,17,22.75,1,Job_8
12,18,24.33,1,Job_8
12,21,31.39,2,Job_11
12,22,32.28,1,Job_10
12,23,33.16,1,Job_12
12,24,34.89,3,Job_11
12,28,41.39,1,Job_3
12,10228,41.4,1,Job_Added
12,10229,41.41,1,Job_Added
12,10230,41.42,1,Job_Added
12,10231,41.43,1,Job_Added
12,10232,41.44,2,Job_Added
12,10233,41.45,2,Job_Added
13,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
13,1,1.85,2,"Job_0, Job_2"
13,3,3.79,1,Job_2
13,4,4.67,1,Job_3
13,5,5.3,1,Job_4
13,8,8.52,1,"Job_4, Job_6"
13,11,11.82,3,Job_7
13,12,12.73,1,Job_5
13,14,14.78,1,"Job_5, Job_7"
13,16,16.6,3,"Job_5, Job_7, Job_8"
13,17,17.4,1,Job_9
13,21,22.54,1,Job_6
13,22,23.49,1,Job_10
13,25,26.48,1,Job_11
13,26,27.84,1,Job_10
13,27,28.12,2,Job_11
13,28,29.16,2,Job_10
13,29,30.2,1,Job_11
13,31,34.48,1,Job_10
13,33,37.67,1,Job_12
13,34,45.38,1,Job_13
13,8334,45.39,1,Job_Added
13,8335,45.400000000000006,1,Job_Added
13,8336,45.41,1,Job_Added
13,9636,45.419999999999995,1,Job_Added
13,9637,45.43,1,Job_Added
13,9638,45.44,1,Job_Added
13,9639,45.449999999999996,1,Job_Added
13,9640,45.459999999999994,1,Job_Added
13,9641,45.47,1,Job_Added
13,9642,45.48,1,Job_Added
13,9643,45.489999999999995,2,Job_Added
13,9644,45.5,2,Job_Added
13,9645,45.51,2,Job_Added
14,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
14,1,1.33,2,"Job_0, Job_1"
14,2,3.1,1,Job_3
14,4,4.15,1,Job_2
14,3,4.55,1,Job_1
14,6,7.3,1,Job_0
14,5,7.91,1,Job_1
14,7,38.32,2,"Job_4, Job_5"
14,8,40.25,1,Job_5
14,9,41.47,1,Job_4
14,10,43.42,2,"Job_5, Job_6"
14,11,45.9,1,Job_6
14,12,47.77,1,Job_6
14,2012,47.78,1,Job_Added
14,2013,47.790000000000006,1,Job_Added
14,2014,47.8,1,Job_Added
14,2015,47.81,1,Job_Added
14,8415,47.82,1,Job_Added
14,8416,47.830000000000005,1,Job_Added
14,8417,47.84,1,Job_Added
14,8418,47.85,1,Job_Added
14,8419,47.86,1,Job_Added
14,8420,47.870000000000005,1,Job_Added
15,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
15,1,1.41,1,"Job_0, Job_1"
15,2,2.4,1,Job_3
15,3,3.3,1,Job_4
15,4,5.57,1,"Job_4, Job_5"
15,5,7.71,1,Job_5
15,6,8.17,1,Job_4
15,7,10.44,1,Job_4
15,8,12.36,1,Job_4
15,9,20.24,2,"Job_6, Job_7"
15,10,22.93,1,Job_6
15,11,23.93,1,Job_7
15,12,24.92,1,Job_6
15,13,25.82,1,Job_7
15,14,26.35,1,Job_6
15,15,28.66,1,Job_6
15,16,42.88,1,"Job_8, Job_9"
15,17,44.55,1,"Job_8, Job_9"
15,18,46.82,2,"Job_8, Job_9"
15,11518,46.83,1,Job_Added
15,11519,46.84,1,Job_Added
15,11520,46.85,1,Job_Added
15,11521,46.86,1,Job_Added
16,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
16,1,1.27,2,"Job_0, Job_1"
16,2,4.15,1,Job_2
16,3,5.89,1,Job_1
16,4,6.39,1,Job_2
16,5,8.38,1,Job_4
16,6,10.18,2,"Job_2, Job_4"
16,7,12.58,1,Job_4
16,8,25.82,1,Job_5
16,9,29.9,1,Job_5
16,10,31.64,1,Job_5
16,11,33.55,1,Job_6
16,12,34.38,1,Job_7
16,13,35.19,1,Job_6
16,14,36.2,1,Job_7
16,15,38.37,1,Job_7
16,16,39.3,1,Job_6
16,17,40.88,2,"Job_7, Job_8"
16,18,41.82,1,Job_9
16,19,44.34,1,Job_9
16,20,46.27,1,Job_7
16,21,47.82,1,Job_9
17,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
17,1,1.54,2,"Job_0, Job_1"
17,2,2.92,1,Job_3
17,3,7.48,2,"Job_4, Job_5"
17,4,10.94,2,"Job_5, Job_6"
17,5,12.34,1,Job_7
17,6,15.83,1,Job_7
17,7,32.87,1,Job_8
17,8,39.11,1,Job_9
17,9,41.69,1,Job_9
17,10,44.76,1,Job_9
17,11,46.34,1,Job_9
17,12,47.55,1,Job_10
17,13,47.980087333004654,1,Job_NEW17_0
17,14,48.21869458163418,1,Job_NEW17_1
17,15,48.48231826769682,1,Job_NEW17_2
17,16,48.76657495702882,1,Job_NEW17_3
17,17,49.00669708009691,1,Job_NEW17_4
17,18,49.23982539588987,1,Job_NEW17_5
17,6718,49.24982539588987,1,Job_Added
17,6719,49.25982539588988,1,Job_Added
17,6720,49.26982539588988,1,Job_Added
17,6721,49.27982539588987,1,Job_Added
18,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
18,1,1.73,1,Job_1
18,6,7.21,3,Job_1
18,7,8.66,1,Job_4
18,8,11.58,1,Job_5
18,9,13.22,2,Job_5
18,10,16.82,2,Job_5
18,15,24.18,1,Job_6
18,16,25.39,1,Job_7
18,17,26.62,2,Job_8
18,18,27.56,1,Job_9
18,19,27.93,1,Job_6
18,23,35.56,1,Job_2
18,25,37.33,2,Job_8
18,26,38.8,1,Job_11
18,27,39.42,1,Job_10
18,29,43.29,1,Job_2
18,30,44.96,1,Job_10
18,32,45.96,1,Job_2
18,34,48.32,2,Job_12
18,38,50.12772895660792,3,"Job_A3,Job_B3,Job_C3"
18,8838,50.13772895660792,1,Job_Added
18,8839,50.14772895660792,1,Job_Added
18,8840,50.15772895660792,1,Job_Added
18,8841,50.16772895660792,1,Job_Added
18,8842,50.17772895660792,1,Job_Added
18,8843,50.18772895660792,1,Job_Added
18,8844,50.19772895660792,1,Job_Added
18,19644,50.20772895660792,1,Job_Added
19,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
19,1,6.54,2,"Job_4, Job_5"
19,2,8.46,2,Job_5
19,3,9.37,1,Job_4
19,4,10.9,2,Job_5
19,5,11.35,1,Job_4
19,6,13.13,1,Job_4
19,7,22.64,1,Job_6
19,8,24.26,2,Job_6
19,9,27.42,2,Job_6
19,10,28.55,1,Job_7
19,11,29.24,1,Job_6
19,12,31.89,1,Job_6
19,13,34.85,1,Job_8
19,14,35.15,2,Job_9
19,15,39.35,1,Job_10
19,16,41.91,1,Job_10
19,6916,41.92,2,Job_Added
19,6917,41.93,1,Job_Added
19,6918,41.94,1,Job_Added
19,6919,41.95,1,Job_Added
19,6920,41.96,1,Job_Added
19,17820,41.97,1,Job_Added
19,17821,41.98,1,Job_Added
19,17822,41.99,1,Job_Added
19,17823,42.0,1,Job_Added
19,17824,42.01,1,Job_Added
19,29724,42.02,1,Job_Added
19,29725,42.03,1,Job_Added
19,29726,42.04,1,Job_Added
19,29727,42.05,1,Job_Added
20,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
20,1,1.36,1,Job_1
20,2,2.31,1,Job_4
20,3,3.23,1,Job_1
20,4,7.54,1,Job_5
20,5,9.68,1,Job_5
20,6,10.98,1,Job_6
20,7,11.8,1,Job_5
20,8,13.59,3,"Job_5, Job_6, Job_7"
20,9,14.32,1,Job_8
20,10,15.57,1,Job_6
20,11,16.7,1,Job_7
20,12,17.34,1,Job_8
20,13,19.22,2,"Job_6, Job_8"
20,14,21.87,2,"Job_5, Job_8"
20,15,23.1,1,Job_9
20,16,24.78,1,Job_8
20,17,25.87,1,Job_9
20,18,27.66,1,Job_10
20,19,29.42,2,"Job_10, Job_11"
20,20,32.43,1,Job_11
20,21,34.73,1,Job_11
20,22,35.31,1,Job_12
20,23,36.87,1,Job_11
20,24,38.86,1,Job_11
20,25,40.75,1,Job_13
21,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
21,1,1.77,1,Job_0
21,2,2.43,1,Job_3
21,3,2.58,1,Job_1
21,4,4.66,1,Job_3
21,5,7.66,1,Job_3
21,6,24.66,1,Job_4
21,7,26.58,1,Job_4
21,8,32.18,1,Job_5
21,9,35.22,1,Job_5
21,10,37.28,1,Job_6
21,11,38.84,1,Job_5
21,12,39.87,1,Job_6
21,13,40.39,1,Job_5
21,14,41.27,1,Job_7
21,15,42.27,1,Job_6
21,16,43.64,1,Job_7
21,17,44.14,1,Job_6
21,18,45.16,2,"Job_7, Job_8"
21,19,47.63,1,Job_8
22,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
22,1,1.23,2,"Job_0, Job_4"
22,2,2.7,1,Job_5
22,3,3.98,1,Job_1
22,4,4.11,1,Job_5
22,6,5.55,1,Job_0
22,5,5.56,1,Job_2
22,8,7.12,1,Job_1
22,7,7.3,1,Job_2
22,9,10.68,1,Job_4
22,10,11.67,1,Job_6
22,11,12.15,1,Job_4
22,12,14.28,1,Job_7
22,13,16.59,1,Job_7
22,14,19.7,1,Job_7
22,16,20.05,1,Job_8
22,15,20.26,1,Job_9
22,17,21.71,1,Job_7
22,18,22.67,1,Job_8
22,19,23.44,1,Job_10
22,20,24.93,1,Job_9
22,21,27.33,1,Job_11
22,22,28.93,1,Job_9
22,23,30.72,1,Job_11
22,24,31.93,1,Job_9
22,25,32.22,1,Job_11
22,26,34.34,2,"Job_12, Job_9"
22,27,35.4,1,Job_11
22,28,36.41,2,"Job_12, Job_13"
22,29,39.75,1,Job_13
22,30,40.58,1,Job_12
22,31,41.2,1,Job_13
22,32,43.67,2,"Job_12, Job_13"
22,33,45.83,1,Job_14
22,34,46.92,1,Job_12
23,0,0.0,4,"Job_0, Job_1, Job_2, Job_3"
23,1,1.68,1,Job_2
23,2,2.05,1,Job_3
23,3,3.62,1,Job_2
23,4,12.88,1,Job_4
23,5,19.33,1,Job_5
23,6,32.69,1,Job_6
