DP_Index,Episode,Timestamp,Agent_Count,Type
360,89,13.57,3,conflict
361,89,41.98,2,simultaneous
362,90,0.00,4,simultaneous
363,90,10.80,3,conflict
364,90,15.46,2,conflict
365,90,19.80,2,conflict
366,91,0.00,4,simultaneous
367,91,12.57,2,simultaneous
368,91,15.22,3,conflict
369,92,0.00,4,simultaneous
370,93,0.00,4,simultaneous
371,93,4.58,3,conflict
372,93,19.10,2,conflict
373,93,40.82,2,conflict
374,93,42.92,3,conflict
375,94,0.00,4,simultaneous
376,94,7.15,3,conflict
377,94,17.82,2,conflict
378,95,0.00,4,simultaneous
379,95,28.80,3,conflict
380,95,31.15,2,conflict
381,95,45.75,2,conflict
382,95,48.75,3,conflict
383,96,0.00,4,simultaneous
384,96,13.10,2,simultaneous
385,96,13.57,3,conflict
386,96,17.68,3,conflict
387,96,18.57,3,conflict
388,96,19.68,3,conflict
389,97,0.00,4,simultaneous
390,97,18.93,3,conflict
391,97,31.82,2,conflict
392,98,0.00,4,simultaneous
393,98,17.75,3,conflict
394,98,20.98,2,conflict
395,99,0.00,4,simultaneous
396,99,13.80,3,conflict
397,99,16.80,2,conflict
398,99,46.27,2,conflict
399,100,0.00,4,simultaneous
400,100,9.82,3,conflict
401,100,39.68,2,conflict
402,101,0.00,4,simultaneous
403,101,6.95,3,conflict
404,101,9.22,2,conflict
405,102,0.00,4,simultaneous
406,102,17.10,2,simultaneous
407,102,19.57,3,conflict
408,102,32.27,3,conflict
409,102,43.98,3,conflict
410,102,47.10,3,conflict
411,103,0.00,4,simultaneous
412,103,17.82,3,conflict
413,103,32.82,2,conflict
414,104,0.00,4,simultaneous
415,104,9.97,3,conflict
416,104,34.10,2,conflict
417,105,0.00,4,simultaneous
418,105,11.75,3,conflict
419,106,0.00,4,simultaneous
420,106,2.58,2,simultaneous
421,106,37.05,3,conflict
422,107,0.00,4,simultaneous
423,107,23.40,3,conflict
424,107,29.80,2,conflict
425,107,38.58,2,conflict
426,108,0.00,4,simultaneous
427,108,4.22,3,conflict
428,108,17.27,2,conflict
429,108,33.75,2,conflict
430,108,47.15,3,conflict
431,108,49.05,3,conflict
432,109,0.00,4,simultaneous
433,109,2.75,2,simultaneous
434,109,7.10,3,conflict
435,109,11.57,2,simultaneous
436,109,11.57,2,conflict
437,109,13.57,3,conflict
438,109,38.58,3,conflict
439,109,47.75,3,conflict
440,110,0.00,4,simultaneous
441,110,7.03,3,conflict
442,110,10.75,2,simultaneous
443,110,14.75,2,conflict
444,111,0.00,4,simultaneous
445,111,34.10,3,conflict
446,111,37.58,2,conflict
447,111,38.58,2,conflict
448,111,41.92,3,conflict
449,111,48.75,3,conflict
450,112,0.00,4,simultaneous
451,112,11.57,3,conflict
452,112,19.82,2,conflict
453,113,0.00,4,simultaneous
454,113,6.42,3,conflict
455,113,8.57,2,conflict
456,113,9.93,2,conflict
457,113,11.93,3,conflict
458,113,28.05,3,conflict
459,113,33.10,3,conflict
460,113,37.82,2,simultaneous
461,113,45.92,3,conflict
462,113,49.58,3,conflict
463,114,0.00,4,simultaneous
464,114,7.22,3,conflict
465,115,0.00,4,simultaneous
466,115,37.92,3,conflict
467,115,39.85,2,conflict
468,116,0.00,4,simultaneous
469,116,13.22,3,conflict
470,116,23.93,2,conflict
471,117,0.00,4,simultaneous
472,117,4.68,3,conflict
473,117,7.58,2,conflict
474,117,13.10,2,conflict
475,117,26.75,3,conflict
476,117,28.82,3,conflict
477,118,0.00,4,simultaneous
478,118,35.92,3,conflict
479,118,40.92,2,conflict
480,119,0.00,4,simultaneous
481,119,6.92,3,conflict
482,119,33.58,2,simultaneous
483,120,0.00,4,simultaneous
484,120,16.90,3,conflict
485,121,0.00,4,simultaneous
486,121,4.58,3,conflict
487,121,16.27,2,conflict
488,122,0.00,4,simultaneous
489,122,32.58,3,conflict
490,122,45.40,2,conflict
491,123,0.00,4,simultaneous
492,123,7.92,3,conflict
493,124,0.00,4,simultaneous
494,124,40.58,2,simultaneous
495,124,42.58,3,conflict
496,125,0.00,4,simultaneous
497,125,32.58,3,conflict
498,126,0.00,4,simultaneous
499,126,9.22,3,conflict
500,127,0.00,4,simultaneous
501,127,12.75,3,conflict
502,128,0.00,4,simultaneous
503,129,0.00,4,simultaneous
504,129,13.75,3,conflict
505,129,18.03,2,conflict
506,129,25.05,2,simultaneous
507,129,27.23,3,conflict
508,129,32.92,3,conflict
509,129,38.46,3,conflict
510,129,39.92,3,conflict
511,130,0.00,4,simultaneous
512,130,5.68,3,conflict
513,130,32.27,2,conflict
514,131,0.00,4,simultaneous
515,131,26.80,3,conflict
516,131,42.75,2,conflict
517,131,44.75,2,conflict
518,132,0.00,4,simultaneous
519,132,24.82,3,conflict
520,132,37.10,2,conflict
521,133,0.00,4,simultaneous
522,133,25.10,3,conflict
523,133,33.92,2,conflict
524,134,0.00,4,simultaneous
525,134,6.58,3,conflict
526,134,9.55,2,conflict
527,134,12.22,2,conflict
528,135,0.00,4,simultaneous
529,135,15.28,3,conflict
530,135,21.25,2,conflict
531,135,21.82,2,conflict
532,135,33.98,3,conflict
533,135,41.80,3,conflict
534,136,0.00,4,simultaneous
535,136,2.05,2,simultaneous
536,136,21.75,3,conflict
537,137,0.00,4,simultaneous
538,138,0.00,4,simultaneous
539,138,12.93,3,conflict
540,138,43.92,2,conflict
541,139,0.00,4,simultaneous
542,139,14.28,3,conflict
543,140,0.00,4,simultaneous
544,140,14.82,3,conflict
545,140,24.80,2,conflict
546,140,46.58,2,conflict
547,140,47.82,3,conflict
548,141,0.00,4,simultaneous
549,142,0.00,4,simultaneous
550,142,11.28,3,conflict
551,142,14.28,2,conflict
552,142,18.98,2,simultaneous
553,142,22.32,2,simultaneous
554,142,24.82,3,conflict
555,142,48.82,2,simultaneous
556,143,0.00,4,simultaneous
557,143,46.23,3,conflict
558,143,47.92,2,conflict
559,143,49.62,2,conflict
560,144,0.00,4,simultaneous
561,144,36.05,3,conflict
562,144,49.80,2,conflict
563,145,0.00,4,simultaneous
564,145,7.05,3,conflict
565,145,10.10,2,conflict
566,145,31.27,2,conflict
567,146,0.00,4,simultaneous
568,146,6.42,3,conflict
569,146,38.10,2,simultaneous
570,146,47.80,2,conflict
571,147,0.00,4,simultaneous
572,147,13.57,3,conflict
573,147,29.93,2,conflict
574,147,31.82,2,conflict
575,147,45.05,3,conflict
576,148,0.00,4,simultaneous
577,148,13.82,3,conflict
578,148,33.05,2,conflict
579,149,0.00,4,simultaneous
580,149,4.22,3,conflict
581,149,37.82,2,conflict
582,150,0.00,4,simultaneous
583,150,47.92,3,conflict
584,151,0.00,4,simultaneous
585,151,14.82,3,conflict
586,151,27.75,2,simultaneous
587,151,31.82,2,conflict
588,152,0.00,4,simultaneous
589,152,13.93,3,conflict
590,152,20.80,2,conflict
591,152,41.27,2,conflict
592,153,0.00,4,simultaneous
593,153,15.10,3,conflict
594,153,23.93,2,conflict
595,153,26.05,2,conflict
596,154,0.00,4,simultaneous
597,154,8.75,2,simultaneous
598,154,13.80,3,conflict
599,154,32.58,3,conflict
600,155,0.00,4,simultaneous
601,156,0.00,4,simultaneous
602,156,4.22,3,conflict
603,157,0.00,4,simultaneous
604,158,0.00,4,simultaneous
605,158,18.82,3,conflict
606,158,44.10,2,conflict
607,159,0.00,4,simultaneous
608,159,13.22,3,conflict
609,159,18.75,2,simultaneous
610,159,31.30,2,conflict
611,159,34.10,3,conflict
612,160,0.00,4,simultaneous
613,160,21.57,3,conflict
614,161,0.00,4,simultaneous
615,161,5.75,3,conflict
616,161,48.10,2,conflict
617,162,0.00,4,simultaneous
618,163,0.00,4,simultaneous
619,163,6.58,3,conflict
620,164,0.00,4,simultaneous
621,164,27.57,2,simultaneous
622,164,39.10,3,conflict
623,165,0.00,4,simultaneous
624,165,8.22,3,conflict
625,165,15.80,2,conflict
626,166,0.00,4,simultaneous
627,166,27.57,3,conflict
628,167,0.00,4,simultaneous
629,167,22.93,3,conflict
630,167,35.10,2,conflict
631,167,40.05,2,conflict
632,168,0.00,4,simultaneous
633,168,11.33,3,conflict
634,169,0.00,4,simultaneous
635,169,31.80,3,conflict
636,170,0.00,4,simultaneous
637,170,7.15,3,conflict
638,170,13.67,2,conflict
639,170,38.58,2,conflict
640,170,40.75,3,conflict
641,171,0.00,4,simultaneous
642,171,7.75,3,conflict
643,171,36.62,2,conflict
644,171,48.92,2,conflict
645,172,0.00,4,simultaneous
646,172,22.15,3,conflict
647,173,0.00,4,simultaneous
648,173,38.58,3,conflict
649,173,39.75,2,simultaneous
650,173,46.82,2,conflict
651,174,0.00,4,simultaneous
652,174,4.05,3,conflict
653,174,10.57,2,conflict
654,174,12.82,2,conflict
655,174,43.15,3,conflict
656,175,0.00,4,simultaneous
657,175,12.82,3,conflict
658,175,29.57,2,conflict
659,175,34.10,2,conflict
660,175,37.75,3,conflict
661,176,0.00,4,simultaneous
662,176,4.58,3,conflict
663,176,24.57,2,conflict
664,176,29.57,2,conflict
665,176,34.98,3,conflict
666,177,0.00,4,simultaneous
667,177,6.97,3,conflict
668,177,11.57,2,conflict
669,177,15.57,2,conflict
670,177,18.82,3,conflict
671,178,0.00,4,simultaneous
672,178,46.80,3,conflict
673,179,0.00,4,simultaneous
674,179,25.82,3,conflict
675,179,43.80,2,conflict
676,180,0.00,4,simultaneous
677,180,13.43,3,conflict
678,180,15.82,2,conflict
679,181,0.00,4,simultaneous
680,181,26.05,3,conflict
681,181,26.50,2,conflict
682,181,49.05,2,conflict
683,182,0.00,4,simultaneous
684,182,13.75,2,simultaneous
685,182,13.75,2,conflict
686,182,47.32,3,conflict
687,183,0.00,4,simultaneous
688,183,3.10,2,simultaneous
689,183,16.10,3,conflict
690,183,16.62,3,conflict
691,183,24.57,3,conflict
692,183,38.98,3,conflict
693,184,0.00,4,simultaneous
694,184,12.97,3,conflict
695,185,0.00,4,simultaneous
696,185,13.15,3,conflict
697,185,15.57,2,conflict
698,185,27.93,2,conflict
699,185,34.98,3,conflict
700,186,0.00,4,simultaneous
701,186,4.50,3,conflict
702,186,5.75,2,conflict
703,186,25.57,2,conflict
704,186,27.75,2,simultaneous
705,186,31.32,3,conflict
706,186,32.58,3,conflict
707,187,0.00,4,simultaneous
708,187,10.40,3,conflict
709,187,10.68,2,conflict
710,187,27.75,2,conflict
711,187,37.85,3,conflict
712,188,0.00,4,simultaneous
713,188,43.15,3,conflict
714,189,0.00,4,simultaneous
715,189,11.75,3,conflict
716,189,21.93,2,conflict
717,189,24.75,2,simultaneous
718,189,28.98,3,conflict
719,190,0.00,4,simultaneous
720,190,10.10,3,conflict
721,190,11.15,2,conflict
722,190,13.43,2,conflict
723,190,45.27,3,conflict
724,191,0.00,4,simultaneous
725,191,5.37,3,conflict
726,191,9.75,2,conflict
727,191,11.93,2,conflict
728,191,43.58,3,conflict
729,191,43.80,3,conflict
730,192,0.00,4,simultaneous
731,192,16.57,3,conflict
732,192,26.75,2,conflict
733,192,28.10,2,conflict
734,192,29.62,3,conflict
735,192,31.10,3,conflict
736,193,0.00,4,simultaneous
737,193,34.82,3,conflict
738,194,0.00,4,simultaneous
739,194,17.98,3,conflict
740,194,19.93,2,conflict
741,194,21.05,2,conflict
742,195,0.00,4,simultaneous
743,195,7.97,3,conflict
744,195,16.98,2,conflict
745,195,19.80,2,conflict
746,196,0.00,4,simultaneous
747,196,7.55,3,conflict
748,196,26.75,2,conflict
749,196,34.58,2,conflict
750,196,42.10,2,simultaneous
751,196,44.82,3,conflict
752,196,46.58,2,simultaneous
753,197,0.00,4,simultaneous
754,197,22.57,3,conflict
755,198,0.00,4,simultaneous
756,198,7.40,3,conflict
757,199,0.00,4,simultaneous
758,199,8.57,3,conflict
759,199,15.75,2,conflict
760,199,16.68,2,conflict
761,199,17.75,3,conflict
762,199,37.98,3,conflict
763,200,0.00,4,simultaneous
764,200,5.97,3,conflict
765,200,37.68,2,conflict
766,201,0.00,4,simultaneous
767,201,14.68,3,conflict
768,201,19.75,2,conflict
769,202,0.00,4,simultaneous
770,202,6.58,3,conflict
771,202,8.10,2,conflict
772,202,8.93,2,conflict
773,202,37.75,3,conflict
774,202,47.05,3,conflict
775,202,49.05,3,conflict
776,203,0.00,4,simultaneous
777,203,17.05,3,conflict
778,203,33.27,2,conflict
779,203,37.82,2,conflict
780,203,47.58,3,conflict
781,204,0.00,4,simultaneous
782,205,0.00,4,simultaneous
783,205,6.58,3,conflict
784,205,23.82,2,conflict
785,206,0.00,4,simultaneous
786,206,9.75,2,simultaneous
787,206,37.92,3,conflict
788,206,42.50,3,conflict
789,206,48.58,3,conflict
790,207,0.00,4,simultaneous
791,207,5.75,3,conflict
792,207,18.23,2,conflict
793,207,20.82,2,conflict
794,207,34.80,3,conflict
795,207,39.05,3,conflict
796,207,44.82,3,conflict
797,207,46.58,3,conflict
